Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
an ^at++++=an
association ^nn++++=association
between ^in++++=between
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
active ^jj+atrb+++=active
Bcg ^np+++??+=BCG
vaccination ^nn++++=vaccination
programs ^nns+++??+=programs
and ^cc++++=and
lower ^jjr+atrb+++=lower
numbers ^nns++++=numbers
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
and ^cc++++=and
deaths ^nns++++=deaths
per ^nnu++++=per
capita ^nn+++??+=capita
in ^in++++=in
the ^ati++++=the
countries ^nns++++=countries
analyzed ^nn+++??+=analyzed,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
potential ^jj++++=potential
cross ^jj++++=cross-protective
- ^zz++++=EXTRAWORD
protective ^jj+atrb+++=EXTRAWORD
effect ^nn++++=effect
of ^in++++=of
innate ^jj+atrb+++=innate
immunity ^nn++++=immunity
against ^in++++=against
sars ^np++++=SARS-CoV-2.
- ^zz++++=EXTRAWORD
cov-2. ^nn++++=EXTRAWORD
