Airborne ^jj+atrb+++=Airborne
transmission ^nn++++=transmission
of ^in++++=of
pathogens ^nns++++=pathogens
occurs ^vbz++++=occurs
via ^in++++=via
droplets ^nns++++=droplets
and ^cc++++=and
aerosols ^nns+++??+=aerosols
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
produced ^vpsv++by+xvbnx+=produced
by ^in++++=by
activities ^nns++++=activities
such ^abl++++=such
as ^ql++++=as
coughing ^nn++++=coughing,
, ^zz++++=EXTRAWORD
sneezing ^nn+++??+=sneezing,
, ^zz++++=EXTRAWORD
shouting ^vbg+vpub++xvbg+=shouting,
, ^zz++++=EXTRAWORD
breathing ^nvbg+++xvbg+=breathing,
, ^zz++++=EXTRAWORD
toilet ^nn++++=toilet
flushing ^vwbg+++xvbg+=flushing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certain ^jj+atrb+++=certain
medical ^jj+atrb+++=medical
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
ventilation ^nn++++=ventilation
systems ^nns++++=systems
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
ineffective ^jj+pred+++=ineffective
at ^rb++++=at
preventing ^vbg+++xvbg+=preventing
the ^ati++++=the
rapid ^jj++++=rapid
settling ^jj+++xvbg+=settling
of ^in++++=of
large ^jj+atrb+++=large
droplets ^nns++++=droplets,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
can ^md+pos+++=can
affect ^vb++++=affect
the ^ati++++=the
distribution ^nn++++=distribution
and ^cc++++=and
transmission ^nn++++=transmission
of ^in++++=of
infectious ^nns+++??+=infectious
aerosols ^nns+++??+=aerosols,
, ^zz++++=EXTRAWORD
including ^in++++=including
droplet ^nn+++??+=droplet
nuclei ^nns++++=nuclei.
. ^zz++++=EXTRAWORD
The ^ati++++=The
implementation ^nn++++=implementation
of ^in++++=of
directional ^jj+atrb+++=directional
airflow ^nn+++??+=airflow
can ^md+pos+++=can
establish ^vb+vprv+++=establish
clean ^jj++++=clean-to-dirty
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dirty ^jj+atrb+++=EXTRAWORD
flow ^nn++++=flow
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
the ^ati++++=the
removal ^nn++++=removal
of ^in++++=of
infectious ^nns+++??+=infectious
aerosols ^nns++++=aerosols
through ^in++++=through
exhaust ^nn++++=exhaust
systems ^nns++++=systems
[ ^zz++++=[12,
12 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
13 ^cd++++=13].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
