Objective ^jj++++=OBJECTIVE:
: ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
rapid ^jj+atrb+++=rapid
spread ^nn+++xvbn+=spread
of ^in++++=of
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
scientific ^jj+atrb+++=scientific
community ^nn++++=community
has ^vbz+hvz+aux++=has
sought ^vprf+++xvbnx+=sought
to ^to++++=to
identify ^vbi++++=identify
factors ^nns++++=factors
that ^tht+rel+obj++=that
may ^md+pos+++=may
influence ^vb++++=influence
the ^ati++++=the
outcomes ^nns+++??+=outcomes
of ^in++++=of
viral ^nn+++??+=viral
infections ^nns++++=infections.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
studies ^nns++++=studies
specifically ^rb++++=specifically
addressing ^vbg+++xvbg+=addressing
the ^ati++++=the
new ^jj+atrb+++=new
coronavirus ^nns+++??+=coronavirus,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
established ^vpsv++agls+xvbnx+=established
that ^tht+vcmp+++=that
adequate ^jj+atrb+++=adequate
serum ^nn++++=serum
levels ^nns++++=levels
of ^in++++=of
micronutrients ^nns+++??+=micronutrients
are ^vb+ber+vrb++=are
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
physiological ^jj+atrb+++=physiological
response ^nn++++=response
to ^in++++=to
infectious ^nns+++??+=infectious
diseases ^nns++++=diseases.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
review ^nn++++=review
aims ^vb++++=aims
to ^to+vcmp+++=to
examine ^vbi++++=examine
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
deficiencies ^nns++++=deficiencies
in ^in++++=in
vitamin ^nn++++=vitamin
A ^at++++=A,
, ^zz++++=EXTRAWORD
vitamin ^nn++++=vitamin
D ^zz++++=D,
, ^zz++++=EXTRAWORD
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
zinc ^nn++++=zinc,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
folate ^nn+++??+=folate
on ^in++++=on
the ^ati++++=the
prognosis ^nn++++=prognosis
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
respiratory ^jj+atrb+++=respiratory
infections ^nns++++=infections
that ^tht+rel+subj++=that
present ^vb++++=present
with ^in++++=with
clinical ^jj+atrb+++=clinical
manifestations ^nns++++=manifestations
similar ^jj++++=similar
to ^in++++=to
those ^dt+dem+++=those
of ^in++++=of
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
discuss ^vbi++++=discuss
the ^ati++++=the
potential ^jj+atrb+++=potential
role ^nn++++=role
of ^in++++=of
supplementation ^nn++++=supplementation
with ^in++++=with
these ^dt+dem+++=these
nutrients ^nns++++=nutrients.
. ^zz++++=EXTRAWORD
