Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
corredori ^nn+++??+=corredori
( ^zz++++=(P=0.001)
p=0.001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
B ^zz++++=B.
. ^zz++++=EXTRAWORD
ferroae ^nn+++??+=ferroae
( ^zz++++=(P=0.008)
p=0.008 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
exhibited ^vbd+++xvbn+=exhibited
avoidance ^nn++++=avoidance
of ^in++++=of
the ^ati++++=the
Y ^zz++++=Y-olfactometer
- ^zz++++=EXTRAWORD
olfactometer ^nn+++??+=EXTRAWORD
arm ^vb++++=arm
containing ^vbg+++xvbg+=containing
volatiles ^nns+++??+=volatiles
from ^in++++=from
mouse ^nn++++=mouse
wastes ^nns++++=wastes
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
chi ^np++++=chi-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
test ^nn++++=test
of ^in++++=of
independence ^nn++++=independence
indicated ^vbd+vprv++xvbn+=indicated
no ^at++++=no
significant ^jj+atrb+++=significant
association ^nn++++=association
between ^in++++=between
species ^nn++++=species
and ^cc++++=and
behavioral ^jj+atrb+++=behavioral
responses ^nns++++=responses
( ^zz++++=(P=0.477).
p=0.477 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
of ^in++++=of
the ^ati++++=the
genus ^nns+++??+=genus
Belminus ^np+++??+=Belminus
( ^zz++++=(n=48)
n=48 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
avoided ^vbd+++xvbn+=avoided
volatiles ^nns+++??+=volatiles
from ^in++++=from
mouse ^nn++++=mouse
wastes ^nns++++=wastes
in ^in++++=in
79 ^cd++++=79%
% ^zz++++=EXTRAWORD
of ^in++++=of
trials ^nns++++=trials
( ^zz++++=(P=0.000023).
p=0.000023 ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
