Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
in ^in++++=in
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
English ^jj++++=English
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
foreign ^jj+atrb+++=foreign
language ^nn++++=language
and ^cc++++=and
functions ^nns++++=functions
as ^in++++=as
a ^at++++=a
lingua ^nn+++??+=lingua
franca ^np++++=franca,
, ^zz++++=EXTRAWORD
including ^in++++=including
among ^in++++=among
indigenous ^jj+atrb+++=indigenous
communities ^nns++++=communities
such ^abl++++=such
as ^ql++++=as
Yungantza ^np+++??+=Yungantza.
. ^zz++++=EXTRAWORD
Members ^nns++++=Members
of ^in++++=of
these ^dt+dem+++=these
communities ^nns++++=communities
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
learning ^xvbg+++xvbg+=learning
English ^jj++++=English,
, ^zz++++=EXTRAWORD
motivated ^xvbn+++xvbn+=motivated
by ^in++++=by
the ^ati++++=the
expectation ^nn++++=expectation
of ^in++++=of
improved ^jj+++xvbn+=improved
academic ^jj++++=academic
and ^cc++++=and
employment ^nn++++=employment
opportunities ^nns++++=opportunities
( ^zz++++=(S
s ^zz++++=EXTRAWORD
nchez ^nn+++??+=nchez
& ^zz++++=&
zajkowski ^np++++=Zajkowski,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
