Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
indicate ^vb+vprv+++=indicate
a ^at++++=a
substantial ^jj+atrb+++=substantial
level ^nn++++=level
of ^in++++=of
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
subject ^nn++++=subject
within ^in++++=within
the ^ati++++=the
scientific ^jj+atrb+++=scientific
community ^nn++++=community.
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
identified ^vwbn+++xvbn+=identified
82 ^cd++++=82
authors ^nns++++=authors
constituting ^vwbg+++xvbg+=constituting
an ^at++++=an
elite ^nn++++=elite
group ^nn++++=group,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
66.1 ^cd++++=66.1%
% ^zz++++=EXTRAWORD
of ^in++++=of
total ^jj+atrb+++=total
productivity ^nn++++=productivity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
China ^np++++=China,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saudi ^np+++??+=Saudi
Arabia ^np++++=Arabia
were ^vbd+bed+vrb++=were
the ^ati++++=the
countries ^nns++++=countries
most ^ql+emph+++=most
frequently ^rb++++=frequently
involved ^vpsv++agls+xvbn+=involved
in ^in++++=in
the ^ati++++=the
formation ^nn++++=formation
of ^in++++=of
collaboration ^nn++++=collaboration
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
