Adda ^np+++??+=Adda
J ^zz++++=J
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
influenza ^nn++++=influenza
viruses ^nns++++=viruses
in ^in++++=in
the ^ati++++=the
twentieth ^od++++=twentieth
century ^nn++++=century
was ^vbd+bedz+aux++=was
closely ^rb++splt++=closely
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
human ^jj+atrb+++=human
mobility ^nn++++=mobility,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
strong ^jj+atrb+++=strong
association ^nn++++=association
observed ^vbd+++xvbn+=observed
between ^in++++=between
disease ^nn++++=disease
transmission ^nn++++=transmission
and ^cc++++=and
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
economic ^jj+atrb+++=economic
activity ^nn++++=activity
and ^cc++++=and
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn++++=EXTRAWORD
transportation ^nn++++=transportation.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
relationship ^nn++++=relationship
was ^vbd+bedz+aux++=was
further ^jjb+pred+++=further
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
Candido ^np+++??+=Candido
D ^zz++++=D
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
increased ^vprf+++xvbn+=increased
air ^nn++++=air
travel ^nn++++=travel
distances ^nns++++=distances
were ^vbd+bed+aux++=were
correlated ^vpsv++agls+xvbnx+=correlated
with ^in++++=with
a ^at++++=a
greater ^nn++++=greater
spread ^vbd+++xvbn+=spread
of ^in++++=of
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
similarities ^nns++++=similarities
in ^in++++=in
transmission ^nn++++=transmission
mechanisms ^nns++++=mechanisms,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
anticipated ^vpsv++agls+xvbnx+=anticipated
that ^tht+vcmp+++=that
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
would ^md+prd+++=would
follow ^vb+vprv+++=follow
a ^at++++=a
comparable ^jj+atrb+++=comparable
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
Jia ^np+++??+=Jia
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
provided ^vbd+vsua++xvbn+=provided
evidence ^nn++++=evidence
from ^in++++=from
China ^np++++=China
demonstrating ^vwbg+++xvbg+=demonstrating
a ^at++++=a
strong ^jj+atrb+++=strong
association ^nn++++=association
between ^in++++=between
population ^nn++++=population
movement ^nn++++=movement
across ^in+pl+++=across
regions ^nns++++=regions
and ^cc++++=and
disease ^nn++++=disease
incidence ^nn++++=incidence
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
analysis ^nn++++=analysis
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
while ^cs+sub+++=while
gross ^jj+atrb+++=gross
domestic ^jj+atrb+++=domestic
product ^nn++++=product
( ^zz++++=(GDP)
gdp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
population ^nn++++=population
size ^nn++++=size
initially ^rb+tm+++=initially
serve ^vb++++=serve
as ^ql++++=as
predictors ^nns++++=predictors
of ^in++++=of
disease ^nn++++=disease
spread ^vbd+++xvbn+=spread,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
predictive ^nn+++??+=predictive
value ^nn++++=value
diminishes ^vbz++++=diminishes
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
subsequent ^jj+atrb+++=subsequent
shift ^nn++++=shift
of ^in++++=of
the ^ati++++=the
virus ^nn++++=virus
to ^in++++=to
regions ^nns++++=regions
with ^in++++=with
varying ^jj+atrb+++=varying
economic ^jj+atrb+++=economic
profiles ^nns++++=profiles,
, ^zz++++=EXTRAWORD
including ^in++++=including
less ^rbr++++=less
affluent ^jj+atrb+++=affluent
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
