At ^rb++++=At
present ^vb++++=present,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
substantial ^jj+atrb+++=substantial
proportion ^nn++++=proportion
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
experiences ^nns++++=experiences
clinically ^rb++++=clinically
significant ^jj+atrb+++=significant
fear ^nn++++=fear
and ^cc++++=and
anxiety ^nn++++=anxiety
during ^in++++=during
an ^at++++=an
outbreak ^nn++++=outbreak
of ^in++++=of
infectious ^nns+++??+=infectious
disease ^nn++++=disease
( ^zz++++=(Taylor,
taylor ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
society ^nn++++=society
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
potentially ^rb++++=potentially
traumatic ^jj+atrb+++=traumatic
events ^nns++++=events,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
anxiety ^nn++++=anxiety
disorders ^nns++++=disorders,
, ^zz++++=EXTRAWORD
including ^in++++=including
post ^nn++++=post-traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
stress ^nn++++=stress
disorder ^nn++++=disorder.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
health ^nn++++=health
professionals ^nns++++=professionals
to ^to++++=to
understand ^vbi+vprv+tht0++=understand
the ^ati++++=the
psychological ^jj+atrb+++=psychological
risks ^nns++++=risks
associated ^vbd+++xvbn+=associated
with ^in++++=with
this ^dt+dem+++=this
context ^nn++++=context
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
provide ^vbi+vsua+++=provide
appropriate ^jj+atrb+++=appropriate
care ^nn++++=care
for ^in++++=for
affected ^xvbn+++xvbn+=affected
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
