Given ^vprf+++xvbn+=Given
that ^dt+pdem+++=that
women ^vbz++++=women
often ^rb++++=often
assume ^vb+vprv+tht0++=assume
a ^at++++=a
greater ^nn++++=greater
share ^vb++++=share
of ^in++++=of
the ^ati++++=the
responsibilities ^nns++++=responsibilities
and ^cc++++=and
risks ^nns++++=risks
associated ^vbd+++xvbn+=associated
with ^in++++=with
healthcare ^nn+++??+=healthcare
provider ^nn+++??+=provider
roles ^nns++++=roles
within ^in++++=within
the ^ati++++=the
household ^nn++++=household,
, ^zz++++=EXTRAWORD
frequently ^rb++++=frequently
with ^in++++=with
minimal ^jj+atrb+++=minimal
external ^jj+atrb+++=external
support ^nn++++=support
( ^zz++++=(Smith,
smith ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
notable ^jj+atrb+++=notable
gender ^nn++++=gender
differences ^nns++++=differences
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
responses ^nns++++=responses
to ^in++++=to
the ^ati++++=the
fourteenth ^od++++=fourteenth
item ^nn++++=item
of ^in++++=of
the ^ati++++=the
exhaustion ^nn++++=exhaustion
subscale ^nn+++??+=subscale
( ^zz++++=("I
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
feel ^vb+vprv+++=feel
tired ^jj+++xvbn+=tired
or ^cc++++=or
even ^rb++++=even
exhausted" ^nn+++??+=exhausted").
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
a ^at++++=a
higher ^jjr+atrb+++=higher
proportion ^nn++++=proportion
of ^in++++=of
men ^nns++++=men
reported ^vbd+vpub++xvbn+=reported
never ^rb++++=never
( ^zz++++=(20.7%)
20.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
only ^rb+down+++=only
occasionally ^rb++++=occasionally
( ^zz++++=(26.4%)
26.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
tired ^vbd+++xvbn+=tired
or ^cc+phrs+++=or
exhausted ^vbd+++xvbn+=exhausted
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
women ^nns++++=women
reported ^vbd+vpub++xvbn+=reported
experiencing ^vbg+++xvbg+=experiencing
these ^dt+dem+++=these
feelings ^nns++++=feelings
often ^rb++++=often
( ^zz++++=(22.5%)
22.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
( ^zz++++=(27.9%).
27.9% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
school ^nn++++=school
closures ^nns++++=closures
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
have ^vbi++++=have
a ^at++++=a
disproportionate ^jj+atrb+++=disproportionate
impact ^nn++++=impact
on ^in++++=on
women ^nns++++=women,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
primarily ^rb+down+++=primarily
responsible ^jj+pred+++=responsible
for ^in++++=for
informal ^jj+atrb+++=informal
caregiving ^nn++++=caregiving
within ^in++++=within
families ^nns++++=families
( ^zz++++=(Smith,
smith ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
