A ^at++++=A
total ^nn++++=total
of ^in++++=of
25 ^cd++++=25
specimens ^nns++++=specimens
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
three ^cd++++=three
genera ^nns++++=genera
and ^cc++++=and
five ^cd++++=five
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
Amauroderma ^np+++??+=Amauroderma
exile ^nn++++=exile
( ^zz++++=(Berk.)
berk ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Torrend ^np+++??+=Torrend
1920 ^cd+date+++=1920
is ^vbz+bez+aux++=is
reported ^vpsv++agls+xvbnx+=reported
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
Cerrado ^np+++??+=Cerrado
biome ^nn+++??+=biome.
. ^zz++++=EXTRAWORD
Foraminispora ^np+++??+=Foraminispora
rugosa ^nn+++??+=rugosa
( ^zz++++=(Berk.)
berk ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Costa ^np++++=Costa-Rezende,
- ^zz++++=EXTRAWORD
rezende ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Drechsler ^np+++??+=Drechsler-Santos
- ^zz++++=EXTRAWORD
santos ^np++++=EXTRAWORD
& ^zz++++=&
Robledo ^np+++??+=Robledo
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
Ganoderma ^np+++??+=Ganoderma
multiplicatum ^nn+++??+=multiplicatum
( ^zz++++=(Mont.)
mont ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pat ^np++++=Pat.
. ^zz++++=EXTRAWORD
1889 ^cd+date+++=1889,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ganoderma ^np+++??+=Ganoderma
stipitatum ^nn+++??+=stipitatum
( ^zz++++=(Murrill)
murrill ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Murrill ^np+++??+=Murrill
1908 ^cd+date+++=1908
are ^vb+ber+aux++=are
newly ^rb++splt++=newly
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Goi ^np+++??+=Goi
s ^zz++++=s,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
G ^zz++++=G.
. ^zz++++=EXTRAWORD
stipitatum ^nn+++??+=stipitatum
is ^vbz+bez+aux++=is
also ^rb++splt++=also
newly ^rb++++=newly
recorded ^vbd+vpub++xvbn+=recorded
for ^in++++=for
the ^ati++++=the
Distrito ^np+++??+=Distrito
Federal ^jj++++=Federal.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Amauroderma ^np+++??+=Amauroderma
aurantiacum ^nn+++??+=aurantiacum
( ^zz++++=(Torrend)
torrend ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Gibertoni ^np+++??+=Gibertoni
& ^zz++++=&
Bernicchia ^np+++??+=Bernicchia
2008 ^cd++++=2008
is ^vbz+bez+aux++=is
reported ^vpsv++agls+xvbnx+=reported
again ^rb+tm+++=again
for ^in++++=for
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Goi ^np+++??+=Goi
s ^zz++++=s,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
type ^nn++++=type
locality ^nn++++=locality,
, ^zz++++=EXTRAWORD
88 ^cd++++=88
years ^nns++++=years
after ^in++++=after
its ^pp$+it+++=its
original ^jj+atrb+++=original
description ^nn++++=description.
. ^zz++++=EXTRAWORD
