Some ^dti++++=Some
items ^nns++++=items
in ^in++++=in
our ^pp$+pp1+++=our
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
those ^dt+dem+++=those
related ^jj+++xvbn+=related
to ^in++++=to
professional ^jj+atrb+++=professional
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
health ^nn++++=health
center ^nn+++??+=center
management ^nn++++=management,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
individual ^nn++++=individual
and ^cc++++=and
structural ^jj+atrb+++=structural
working ^jj+atrb++xvbg+=working
conditions ^nns++++=conditions,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
theoretically ^rb++++=theoretically
comparable ^jj+pred+++=comparable
to ^to++++=to
constructs ^vbi++++=constructs
measured ^vpsv++by+xvbn+=measured
by ^in++++=by
previously ^rb+tm+++=previously
published ^vbd+++xvbn+=published
psychometric ^nn+++??+=psychometric
instruments ^nns++++=instruments.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
4cornersat ^cd++++=4CornerSAT
questionnaire ^nn++++=questionnaire,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
assesses ^vbz++++=assesses
physicians ^nns++++=physicians
career ^nn++++=career
satisfaction ^nn++++=satisfaction,
, ^zz++++=EXTRAWORD
comprises ^vbz++++=comprises
four ^cd++++=four
dimensions ^nns++++=dimensions
personal ^jj++++=personal,
, ^zz++++=EXTRAWORD
professional ^jj++++=professional,
, ^zz++++=EXTRAWORD
performance ^nn++++=performance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inherent ^jj++++=inherent
that ^cs+sub+++=that
closely ^rb++++=closely
correspond ^vb++++=correspond
to ^in++++=to
the ^ati++++=the
dimensions ^nns++++=dimensions
identified ^vwbn+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
( ^zz++++=(41,
41 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
42 ^cd++++=42).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
