Healthcare ^np+++??+=Healthcare
services ^nns++++=services
should ^md+nec+++=should
implement ^vb++++=implement
permanent ^jj+atrb+++=permanent
quality ^nn++++=quality
and ^cc++++=and
safety ^nn++++=safety
strategies ^nns+++??+=strategies
and ^cc++++=and
guidelines ^nns+++??+=guidelines.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
planning ^nvbg+++xvbg+=planning
strategies ^nns+++??+=strategies
are ^vb+ber+vrb++=are
essential ^nn++++=essential
for ^in++++=for
conducting ^xvbg+++xvbg+=conducting
urgent ^jj+atrb+++=urgent
surgical ^jj+atrb+++=surgical
procedures ^nns++++=procedures
during ^in++++=during
a ^at++++=a
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
facilitate ^vb++++=facilitate
limiting ^jj+++xvbg+=limiting
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
personnel ^nns++++=personnel
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
operating ^jj+atrb++xvbg+=operating
room ^nn++++=room,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
reducing ^vbg+++xvbg+=reducing
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
contamination ^nn++++=contamination
among ^in++++=among
individuals ^nns++++=individuals
[ ^zz++++=[16].
16 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
