Recent ^jj+atrb+++=Recent
studies ^nns++++=studies
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
patients ^nns++++=patients
hospitalized ^nn+++??+=hospitalized
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
are ^vb+ber+vrb++=are
at ^in++++=at
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
developing ^xvbg+++xvbg+=developing
thromboembolic ^nn+++??+=thromboembolic
events ^nns++++=events,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
significant ^jj+atrb+++=significant
challenges ^nns++++=challenges
for ^in++++=for
Departments ^nns++++=Departments
of ^in++++=of
Angiology ^np+++??+=Angiology
and ^cc++++=and
Vascular ^np+++??+=Vascular
Surgery ^nn++++=Surgery
worldwide ^nn+++??+=worldwide
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
substantial ^jj+atrb+++=substantial
demand ^nn++++=demand
for ^in++++=for
computed ^vbd+++xvbn+=computed
tomography ^nn+++??+=tomography
( ^zz++++=(CT)
ct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
scans ^nns+++??+=scans
and ^cc++++=and
echo ^nn++++=echo-color-Doppler
- ^zz++++=EXTRAWORD
color ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
doppler ^nn+++??+=EXTRAWORD
( ^zz++++=(ECD)
ecd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
examinations ^nns++++=examinations
for ^in++++=for
the ^ati++++=the
diagnosis ^nn++++=diagnosis
of ^in++++=of
pulmonary ^nn+++??+=pulmonary
embolism ^nn+++??+=embolism
( ^zz++++=(PE)
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
deep ^jj+atrb+++=deep
vein ^nn++++=vein
thrombosis ^nn++++=thrombosis
( ^zz++++=(DVT),
dvt ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
become ^vb++++=become
essential ^jj++++=essential
to ^to+jcmp+++=to
review ^vb++++=review
the ^ati++++=the
current ^jj+atrb+++=current
evidence ^nn++++=evidence
regarding ^in++++=regarding
the ^ati++++=the
diagnosis ^nn++++=diagnosis
and ^cc++++=and
management ^nn++++=management
of ^in++++=of
venous ^nns+++??+=venous
thromboembolism ^nn+++??+=thromboembolism
( ^zz++++=(VTE)
vte ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
to ^to++++=to
adapt ^vbi++++=adapt
clinical ^jj+atrb+++=clinical
algorithms ^nns+++??+=algorithms
and ^cc++++=and
flowcharts ^nns+++??+=flowcharts
to ^in++++=to
the ^ati++++=the
present ^jj+atrb+++=present
global ^jj+atrb+++=global
context ^nn++++=context.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
recommendations ^nns++++=recommendations
for ^in++++=for
anticoagulant ^nn++++=anticoagulant
therapy ^nn++++=therapy
in ^in++++=in
these ^dt+dem+++=these
patients ^nns++++=patients
require ^vb+vsua+++=require
careful ^jj+atrb+++=careful
consideration ^nn++++=consideration,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
because ^cs+cos+++=because
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
anticoagulants ^nns+++??+=anticoagulants
in ^in++++=in
those ^dt+dem+++=those
requiring ^jj+atrb++xvbg+=requiring
invasive ^nn+++??+=invasive
ventilation ^nn++++=ventilation
increases ^nns++++=increases
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
bleeding ^xvbg+++xvbg+=bleeding.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
risk ^nn++++=risk-benefit
- ^zz++++=EXTRAWORD
benefit ^nn++++=EXTRAWORD
profile ^nn++++=profile
of ^in++++=of
anticoagulation ^nn+++??+=anticoagulation
must ^md+nec+++=must
be ^vb+be+aux++=be
continuously ^rb++splt++=continuously
reassessed ^vbd+++xvbn+=reassessed
throughout ^in++++=throughout
the ^ati++++=the
clinical ^jj+atrb+++=clinical
course ^nn++++=course.
. ^zz++++=EXTRAWORD
