Double ^jj++++=Double-blind
- ^zz++++=EXTRAWORD
blind ^jj+atrb+++=EXTRAWORD
review ^nn++++=review
is ^vbz+bez+vrb++=is
fundamentally ^rb++++=fundamentally
incompatible ^jj+pred+++=incompatible
with ^in++++=with
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
preprints ^nns+++??+=preprints,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
cases ^nns++++=cases
where ^wrb+who+++=where
journals ^nns++++=journals
themselves ^ppls+pp3+++=themselves
deposit ^nn++++=deposit
pre ^nn+++??+=pre-review
- ^zz++++=EXTRAWORD
review ^nn++++=EXTRAWORD
manuscripts ^nns++++=manuscripts
on ^in++++=on
preprint ^nn+++??+=preprint
servers ^nns++++=servers
such ^abl++++=such
as ^ql++++=as
Scielo ^np+++??+=SciELO
Preprints ^np+++??+=Preprints
or ^cc++++=or
Emeri ^np+++??+=EmeRI.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
incompatibility ^nn++++=incompatibility
is ^vbz+bez+vrb++=is
especially ^rb++++=especially
evident ^jj+pred+++=evident
with ^in++++=with
Emeri ^np+++??+=EmeRI,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
actively ^rb++++=actively
encourages ^vbz++++=encourages
preprint ^jj+atrb++??+=preprint
readers ^nns++++=readers
to ^to++++=to
volunteer ^vbi++++=volunteer
as ^ql++++=as
reviewers ^nns++++=reviewers
for ^in++++=for
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
journals ^nns++++=journals,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
open ^jj+atrb+++=open
participation ^nn++++=participation.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
other ^ap++++=other
aspects ^nns++++=aspects
of ^in++++=of
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review
are ^vb+ber+vrb++=are
not ^xnot++not++=not
inherently ^rb++++=inherently
at ^in++++=at
odds ^nns++++=odds
with ^in++++=with
double ^jj++++=double-blind
- ^zz++++=EXTRAWORD
blind ^jj+atrb+++=EXTRAWORD
review ^nn++++=review:
: ^zz++++=EXTRAWORD
open ^jj++++=open
reports ^vbz++++=reports
do ^vb+do+aux++=do
not ^xnot++not++=not
necessarily ^rb++++=necessarily
require ^vb+vsua+++=require
disclosure ^nn+++??+=disclosure
of ^in++++=of
reviewer ^nn++++=reviewer
identities ^nns+++??+=identities,
, ^zz++++=EXTRAWORD
open ^jj+atrb+++=open
interactions ^nns++++=interactions
can ^md+pos+++=can
be ^vb+be+vrb++=be
anonymized ^nn+++??+=anonymized
through ^in++++=through
editorial ^jj+atrb+++=editorial
platforms ^nns++++=platforms
such ^abl++++=such
as ^ql++++=as
Ojs ^np+++??+=OJS
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
decoupled ^nn+++??+=decoupled
peer ^nn++++=peer
review ^nn++++=review
can ^md+pos+++=can
be ^vb+be+aux++=be
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
a ^at++++=a
double ^jj++++=double-blind
- ^zz++++=EXTRAWORD
blind ^jj+atrb+++=EXTRAWORD
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
open ^nn++++=open
commenting ^vwbg+++xvbg+=commenting
on ^in++++=on
the ^ati++++=the
final ^nn++++=final
published ^vbd+++xvbn+=published
version ^nn++++=version
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
supplement ^nn++++=supplement
rather ^rb++++=rather
than ^in++++=than
a ^at++++=a
replacement ^nn++++=replacement
for ^in++++=for
traditional ^jj+atrb+++=traditional
peer ^nn++++=peer
review ^nn++++=review.
. ^zz++++=EXTRAWORD
