Among ^in++++=Among
the ^ati++++=the
university ^nn++++=university
students ^nns++++=students
surveyed ^vwbn+++xvbn+=surveyed,
, ^zz++++=EXTRAWORD
21.7 ^cd++++=21.7%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
spending ^vbg+++xvbg+=spending
between ^in++++=between
three ^cd++++=three
and ^cc++++=and
four ^cd++++=four
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day
using ^vwbg+++xvbg+=using
their ^pp$+pp3+++=their
smartphones ^nns+++??+=smartphones,
, ^zz++++=EXTRAWORD
19.6 ^cd+date+++=19.6%
% ^zz++++=EXTRAWORD
reported ^vbd+vpub++xvbn+=reported
more ^rbr++++=more
than ^in++++=than
six ^cd++++=six
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
16.9 ^cd+date+++=16.9%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
between ^in++++=between
five ^cd++++=five
and ^cc++++=and
six ^cd++++=six
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
Smartphone ^np+++??+=Smartphone
usage ^nn++++=usage
time ^nn++++=time
is ^vbz+bez+aux++=is
distributed ^vpsv++agls+xvbnx+=distributed
relatively ^rb++++=relatively
evenly ^rb++++=evenly
between ^in++++=between
academic ^jj+atrb+++=academic
activities ^nns++++=activities
( ^zz++++=(67.8%)
67.8 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
engagement ^nn++++=engagement
with ^in++++=with
social ^jj+atrb+++=social
networks ^nns++++=networks
( ^zz++++=(69.6%)
69.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Figure ^nn++++=Figure
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
leisure ^nn++++=leisure
activities ^nns++++=activities
conducted ^vbd+++xvbn+=conducted
via ^in++++=via
smartphone ^nn+++??+=smartphone,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
common ^jj++++=common
are ^vb+ber+aux++=are
taking ^vbg+++xvbgx+=taking
photos ^nns+++??+=photos
or ^cc++++=or
videos ^nns+++??+=videos
( ^zz++++=(92.9%)
92.9 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
listening ^nvbg+++xvbg+=listening
to ^in++++=to
music ^nn++++=music
( ^zz++++=(74.9%).
74.9% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
activities ^nns++++=activities
such ^abl++++=such
as ^ql++++=as
watching ^jj+atrb++xvbg+=watching
videos ^nns+++??+=videos
related ^vbd+++xvbn+=related
to ^in++++=to
television ^nn++++=television
and ^cc++++=and
listening ^nvbg+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
radio ^nn++++=radio
are ^vb+ber+vrb++=are
less ^rbr++++=less
prevalent ^jj+pred+++=prevalent
on ^in++++=on
smartphones ^nns+++??+=smartphones,
, ^zz++++=EXTRAWORD
with ^in++++=with
less ^rbr++++=less
than ^in++++=than
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
of ^in++++=of
students ^nns++++=students
engaging ^vwbg+++xvbg+=engaging
in ^in++++=in
these ^dt+dem+++=these
activities ^nns++++=activities
through ^in++++=through
their ^pp$+pp3+++=their
devices ^nns++++=devices.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
considering ^vbg+++xvbg+=considering
these ^dt+dem+++=these
activities ^nns++++=activities
in ^in++++=in
general ^jj++++=general,
, ^zz++++=EXTRAWORD
71.2 ^cd++++=71.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
students ^nns++++=students
watch ^nn++++=watch
television ^nn++++=television
and ^cc++++=and
61 ^cd++++=61%
% ^zz++++=EXTRAWORD
listen ^vb++++=listen
to ^in++++=to
the ^ati++++=the
radio ^nn++++=radio,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
the ^ati++++=the
device ^nn++++=device
used ^vbd+++xvbn+=used.
. ^zz++++=EXTRAWORD
