Metformin ^np+++??+=Metformin
and ^cc++++=and
rapamycin ^nn+++??+=rapamycin
are ^vb+ber+aux++=are
established ^vpsv++agls+xvbnx+=established
modulators ^nns+++??+=modulators
of ^in++++=of
viral ^nn+++??+=viral
infection ^nn++++=infection
and ^cc++++=and
translation ^nn++++=translation
control ^nn++++=control
pathways ^nns+++??+=pathways,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
mechanistic ^jj+atrb+++=mechanistic
target ^nn++++=target
of ^in++++=of
rapamycin ^nn+++??+=rapamycin
( ^zz++++=(mTOR)
mtor ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
pathway ^nn++++=pathway.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
1971 ^cd+date+++=1971
influenza ^nn++++=influenza
outbreak ^nn++++=outbreak,
, ^zz++++=EXTRAWORD
diabetic ^nn++++=diabetic
patients ^nns++++=patients
receiving ^vwbg+++xvbg+=receiving
phenformin ^nn+++??+=phenformin
or ^cc++++=or
buformin ^jj+++??+=buformin
exhibited ^jj+++xvbn+=exhibited
a ^at++++=a
lower ^jjr+atrb+++=lower
incidence ^nn++++=incidence
of ^in++++=of
infection ^nn++++=infection
compared ^vbd+++xvbn+=compared
to ^in++++=to
those ^dt+dem+++=those
treated ^jj+++xvbn+=treated
with ^in++++=with
sulfonylureas ^nns+++??+=sulfonylureas
or ^cc++++=or
insulin ^nn++++=insulin
( ^zz++++=(Lehrer,
lehrer ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
mtor ^nn+++??+=mTOR
inhibitors ^nns++++=inhibitors
such ^abl++++=such
as ^ql++++=as
rapamycin ^vb+++??+=rapamycin
for ^in++++=for
immunomodulation ^nn+++??+=immunomodulation
in ^in++++=in
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
recently ^rb+tm+++=recently
proposed ^jj++++=proposed
( ^zz++++=(Zheng
zheng ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
