Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
phase ^nn++++=phase
of ^in++++=of
a ^at++++=a
three ^cd++++=three-phase
- ^zz++++=EXTRAWORD
phase ^nn++++=EXTRAWORD
data ^nns++++=data
survey ^nn++++=survey
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
official ^jj+atrb+++=official
sources ^nns++++=sources
to ^to++++=to
obtain ^vbi++++=obtain
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
and ^cc++++=and
deaths ^nns++++=deaths
between ^in++++=between
April ^nr++++=April
11 ^cd++++=11
and ^cc++++=and
May ^md+pos+++=May
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
Incidence ^nn++++=Incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
case ^nn++++=case
fatality ^nn++++=fatality
rates ^nns++++=rates
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
and ^cc+phrs+++=and
compared ^vpsv++agls+xvbn+=compared
among ^in++++=among
predefined ^nn+++??+=predefined
groups ^nns++++=groups
based ^vwbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
Bcg ^np+++??+=BCG
vaccination ^nn++++=vaccination
programs ^nns+++??+=programs.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
acceleration ^nn++++=acceleration
rate ^nn++++=rate
of ^in++++=of
cases ^nns++++=cases
and ^cc++++=and
deaths ^nns++++=deaths
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbn+=calculated
and ^cc+phrs+++=and
compared ^xvbn+++xvbn+=compared
between ^in++++=between
these ^dt+dem+++=these
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
