Regarding ^in++++=Regarding
the ^ati++++=the
suspected ^jj+atrb++xvbn+=suspected
diagnosis ^nn++++=diagnosis
of ^in++++=of
pulmonary ^nn+++??+=pulmonary
embolism ^nn+++??+=embolism
( ^zz++++=(PE),
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Obi ^np+++??+=Obi
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
analyzed ^nn+++??+=analyzed
two ^cd++++=two
variables ^nns++++=variables:
: ^zz++++=EXTRAWORD
the ^ati++++=the
modified ^jj+++xvbn+=modified
wells ^np++++=Wells
score ^nn++++=score
and ^cc++++=and
the ^ati++++=the
patient ^nn++++=patient's
's ^$++++=EXTRAWORD
intubation ^nn++++=intubation
status ^nn++++=status.
. ^zz++++=EXTRAWORD
