During ^in++++=During
the ^ati++++=the
first ^rb++++=first
half ^abn++++=half
of ^in++++=of
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
a ^at++++=a
multidisciplinary ^nn+++??+=multidisciplinary
technical ^jj+atrb+++=technical
team ^nn++++=team
comprising ^vwbg+++xvbg+=comprising
members ^nns++++=members
from ^in++++=from
the ^ati++++=the
Health ^nn++++=Health
Services ^nns++++=Services
Quality ^nn++++=Quality
Directorate ^np+++??+=Directorate
of ^in++++=of
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Research ^nn++++=Research
and ^cc++++=and
Development ^nn++++=Development
Intendance ^np+++??+=Intendance
of ^in++++=of
Susalud ^np+++??+=SUSALUD,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Peruvian ^np+++??+=Peruvian
National ^jj+atrb+++=National
Institute ^nn++++=Institute
of ^in++++=of
Statistics ^nns++++=Statistics
developed ^vbd+++xvbn+=developed
53 ^cd++++=53
preliminary ^jj+atrb+++=preliminary
scales ^nns++++=scales
to ^to++++=to
assess ^vbi++++=assess
various ^jj+atrb+++=various
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
health ^nn++++=health
professionals ^nns++++=professionals
( ^zz++++=(physicians
physicians ^nns++++=EXTRAWORD
and ^cc++++=and
nurses ^nns++++=nurses),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
additional ^jj+atrb+++=additional
sociodemographic ^nn+++??+=sociodemographic
data ^nns++++=data
( ^zz++++=(18).
18 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
scales ^nns++++=scales
were ^vbd+bed+aux++=were
informed ^vpsv++by+xvbnx+=informed
by ^in++++=by
a ^at++++=a
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
literature ^nn++++=literature
and ^cc++++=and
by ^in++++=by
operational ^jj+atrb+++=operational
tools ^nns++++=tools
previously ^rb+tm+++=previously
utilized ^vpsv++by+xvbn+=utilized
by ^in++++=by
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
preliminary ^jj+atrb+++=preliminary
scale ^nn++++=scale
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
between ^in++++=between
1 ^zz++++=1
and ^cc++++=and
22 ^cd++++=22
items ^nns++++=items
and ^cc++++=and
was ^vbd+bedz+aux++=was
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
version ^nn++++=version
of ^in++++=of
Ensusalud ^np+++??+=ENSUSALUD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
a ^at++++=a
national ^jj+atrb+++=national
survey ^nn++++=survey.
. ^zz++++=EXTRAWORD
The ^ati++++=The
preliminary ^jj+atrb+++=preliminary
scales ^nns++++=scales
comprised ^vbd+++xvbn+=comprised
groups ^nns++++=groups
of ^in++++=of
items ^nns++++=items
derived ^vbd+++xvbn+=derived
from ^in++++=from
pre ^nn+++??+=pre-existing
- ^zz++++=EXTRAWORD
existing ^jj+atrb++xvbg+=EXTRAWORD
instruments ^nns++++=instruments
or ^cc++++=or
were ^vbd+bed+aux++=were
designed ^vpsv++agls+xvbnx+=designed
ad ^&fw++++=ad
hoc ^jj"++++=hoc
to ^to++++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
Peruvian ^np+++??+=Peruvian
health ^nn++++=health
system ^nn++++=system;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
measurement ^nn++++=measurement
properties ^nns++++=properties
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
been ^vprf+ben+aux+xvbn+=been
assessed ^vpsv++agls+xvbnx+=assessed.
. ^zz++++=EXTRAWORD
In ^in++++=In
Ensusalud ^np+++??+=ENSUSALUD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
technical ^jj+atrb+++=technical
team ^nn++++=team
reused ^nn+++??+=reused
the ^ati++++=the
53 ^cd++++=53
preliminary ^jj+atrb+++=preliminary
scales ^nns++++=scales
from ^in++++=from
the ^ati++++=the
2014 ^cd++++=2014
survey ^nn++++=survey,
, ^zz++++=EXTRAWORD
incorporated ^xvbn+++xvbn+=incorporated
additional ^jj+atrb+++=additional
preliminary ^jj+atrb+++=preliminary
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
revised ^jj+++xvbn+=revised
the ^ati++++=the
wording ^nn++++=wording
of ^in++++=of
certain ^jj+atrb+++=certain
items ^nns++++=items
based ^xvbn+++xvbn+=based
on ^in++++=on
prior ^jj+atrb+++=prior
experience ^nn++++=experience
( ^zz++++=(19).
19 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
