Anti ^np+++??+=Anti-CD20
- ^zz++++=EXTRAWORD
cd20 ^nn+++??+=EXTRAWORD
monoclonal ^nn+++??+=monoclonal
antibodies ^nns++++=antibodies,
, ^zz++++=EXTRAWORD
including ^in++++=including
ocrelizumab ^nn+++??+=ocrelizumab
and ^cc++++=and
the ^ati++++=the
off ^rp+pl+++=off-label
- ^zz++++=EXTRAWORD
label ^nn++++=EXTRAWORD
use ^nn++++=use
of ^in++++=of
rituximab ^nn+++??+=rituximab,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS).
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
agents ^nns++++=agents
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
severe ^jj+atrb+++=severe
viral ^nn+++??+=viral
infections ^nns++++=infections,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
of ^in++++=of
particular ^jj+atrb+++=particular
concern ^nn++++=concern
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Proposed ^jj+atrb++xvbn+=Proposed
causal ^jj+atrb+++=causal
mechanisms ^nns++++=mechanisms
for ^in++++=for
this ^dt+dem+++=this
increased ^jj+++xvbn+=increased
risk ^vb++++=risk
include ^vb++++=include
neutropenia ^nn+++??+=neutropenia,
, ^zz++++=EXTRAWORD
lymphopenia ^nn+++??+=lymphopenia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hypogammaglobulinemia ^nn+++??+=hypogammaglobulinemia.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^in++++=to
monitor ^nn++++=monitor
complete ^jj+atrb+++=complete
blood ^nn++++=blood
count ^vb++++=count
( ^zz++++=(CBC)
cbc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
immunoglobulin ^nn+++??+=immunoglobulin
levels ^nns++++=levels
( ^zz++++=(total
total ^jj+atrb+++=EXTRAWORD
serum ^nn++++=serum
Iga ^np+++??+=IgA,
, ^zz++++=EXTRAWORD
Igm ^np+++??+=IgM,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Igg ^np+++??+=IgG)
) ^zz++++=EXTRAWORD
every ^at++++=every
six ^cd++++=six
months ^nns++++=months
or ^cc++++=or
in ^in++++=in
the ^ati++++=the
event ^nn++++=event
of ^in++++=of
recurrent ^jj+atrb+++=recurrent
infections ^nns++++=infections.
. ^zz++++=EXTRAWORD
Immunoglobulin ^np+++??+=Immunoglobulin
replacement ^nn++++=replacement
therapy ^nn++++=therapy
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
hypogammaglobulinemia ^nn+++??+=hypogammaglobulinemia
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
reduce ^vbi++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
infections ^nns++++=infections
associated ^vbd+++xvbn+=associated
with ^in++++=with
rituximab ^nn+++??+=rituximab
use ^nn++++=use.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
recommendation ^nn++++=recommendation
is ^vbz+bez+vrb++=is
especially ^rb++++=especially
relevant ^jj+pred+++=relevant
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
a ^at++++=a
viral ^nn+++??+=viral
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Cd19 ^np+++??+=CD19
monitoring ^vwbg+++xvbg+=monitoring
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
useful ^jj+atrb+++=useful
approach ^nn++++=approach
to ^in++++=to
individualize ^nn+++??+=individualize
dosing ^nn++++=dosing
and ^cc++++=and
reinfusion ^nn+++??+=reinfusion
intervals ^nns++++=intervals
for ^in++++=for
B ^zz++++=B-cell
- ^zz++++=EXTRAWORD
cell ^nn++++=EXTRAWORD
depleting ^nn+++??+=depleting
therapies ^nns+++??+=therapies.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
recent ^jj+atrb+++=recent
studies ^nns++++=studies
have ^vb+hv+aux++=have
not ^xnot++not++=not
demonstrated ^vbd+vprv++xvbn+=demonstrated
an ^at++++=an
association ^nn++++=association
between ^in++++=between
ocrelizumab ^nn+++??+=ocrelizumab
and ^cc++++=and
severe ^jj+atrb+++=severe
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
ocrelizumab ^nn+++??+=ocrelizumab
remains ^nns++++=remains
a ^at++++=a
reasonable ^jj+atrb+++=reasonable
treatment ^nn++++=treatment
option ^nn++++=option
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
aggressive ^jj+atrb+++=aggressive
Ms ^nn++++=MS
and ^cc++++=and
positive ^jj+atrb+++=positive
john ^np++++=John
cunningham ^np++++=Cunningham
virus ^nn++++=virus
( ^zz++++=(JCV)
jcv ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
status ^nn++++=status.
. ^zz++++=EXTRAWORD
