Health ^nn++++=Health
Services ^nns++++=Services
Management ^nn++++=Management
Satisfaction ^nn++++=Satisfaction
Scale ^nn++++=Scale:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
scale ^nn++++=scale
is ^vbz+bez+aux++=is
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
assess ^vbi++++=assess
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
the ^ati++++=the
facility ^nn++++=facility
s ^zz++++=s
management ^nn++++=management
team ^nn++++=team
in ^in++++=in
operating ^xvbg+++xvbg+=operating
and ^cc++++=and
organizing ^xvbg+++xvbg+=organizing
the ^ati++++=the
healthcare ^nn+++??+=healthcare
facility ^nn++++=facility.
. ^zz++++=EXTRAWORD
The ^ati++++=The
items ^nns++++=items
included ^vbd+++xvbn+=included
in ^in++++=in
this ^dt+dem+++=this
scale ^nn++++=scale
measure ^nn++++=measure
satisfaction ^nn++++=satisfaction
with ^in++++=with
various ^jj+atrb+++=various
aspects ^nns++++=aspects
of ^in++++=of
management ^nn++++=management,
, ^zz++++=EXTRAWORD
including ^in++++=including
resource ^nn++++=resource
management ^nn++++=management
( ^zz++++=(both
both ^abx++++=EXTRAWORD
economic ^jj++++=economic
and ^cc+phrs+++=and
human ^jj++++=human),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
drug ^nn++++=drug
management ^nn++++=management,
, ^zz++++=EXTRAWORD
shift ^nn++++=shift
scheduling ^nn+++??+=scheduling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
work ^nn++++=work
capacity ^nn++++=capacity.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Ensusalud ^np+++??+=ENSUSALUD
survey ^nn++++=survey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
items ^nns++++=items
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
this ^dt+dem+++=this
instrument ^nn++++=instrument
are ^vb+ber+aux++=are
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
question ^nn++++=question
83 ^cd++++=83,
, ^zz++++=EXTRAWORD
with ^in++++=with
codes ^nns++++=codes
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
c2p83_1 ^nn++++=c2p83_1
to ^in++++=to
c2p83_8 ^nn++++=c2p83_8
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
supplement ^nn++++=Supplement
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
