It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
morbidity ^nn+++??+=morbidity
data ^nns++++=data
for ^in++++=for
leptospirosis ^nn++++=leptospirosis
presented ^vwbn+++xvbn+=presented
in ^in++++=in
this ^dt+dem+++=this
analysis ^nn++++=analysis
may ^md+pos+++=may
be ^vb+be+aux++=be
underestimated ^vprf+++xvbn+=underestimated,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
disease ^nn++++=disease
can ^md+pos+++=can
be ^vb+be+vrb++=be
misdiagnosed ^nn+++??+=misdiagnosed
as ^ql++++=as
other ^ap++++=other
febrile ^nn+++??+=febrile
illnesses ^nns++++=illnesses.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
reported ^vbn+vpub+tht0+xvbn+=reported
cases ^nns++++=cases
are ^vb+ber+aux++=are
derived ^vpsv++agls+xvbnx+=derived
from ^in++++=from
hospital ^npl++++=hospital
records ^vbz+vpub+++=records,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
primarily ^rb+down+++=primarily
capture ^nn++++=capture
patients ^nns++++=patients
with ^in++++=with
more ^rbr++++=more
severe ^jj+atrb+++=severe
manifestations ^nns++++=manifestations
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
