Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
To ^to++++=To
compare ^vbi++++=compare
the ^ati++++=the
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
case ^nn++++=case
fatality ^nn++++=fatality
rates ^nns++++=rates
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
the ^ati++++=the
Bacillus ^np+++??+=Bacillus
Calmette ^np+++??+=Calmette-Gu
- ^zz++++=EXTRAWORD
gu ^nn+++??+=EXTRAWORD
rin ^nn+++??+=rin
( ^zz++++=(BCG)
bcg ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
vaccination ^nn++++=vaccination
programs ^vbz+++??+=programs
implemented ^vbd+++xvbn+=implemented
in ^in++++=in
the ^ati++++=the
principal ^jjb+atrb+++=principal
countries ^nns++++=countries
affected ^vbd+++xvbn+=affected
by ^in++++=by
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
