Among ^in++++=Among
the ^ati++++=the
university ^nn++++=university
students ^nns++++=students
analyzed ^nn+++??+=analyzed,
, ^zz++++=EXTRAWORD
47.3 ^cd++++=47.3%
% ^zz++++=EXTRAWORD
acquired ^vprf+++xvbn+=acquired
a ^at++++=a
computer ^nn++++=computer
within ^in++++=within
the ^ati++++=the
past ^jjb+atrb+++=past
year ^nn++++=year;
; ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
34.5 ^cd++++=34.5%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
purchasing ^nvbg+++xvbg+=purchasing
the ^ati++++=the
device ^nn++++=device
for ^in++++=for
academic ^jj+atrb+++=academic
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
12.8 ^cd++++=12.8%
% ^zz++++=EXTRAWORD
cited ^vwbn+++xvbn+=cited
other ^ap++++=other
reasons ^nns++++=reasons.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
primary ^jj+atrb+++=primary
motivation ^nn++++=motivation
for ^in++++=for
computer ^nn++++=computer
acquisition ^nn++++=acquisition
among ^in++++=among
this ^dt+dem+++=this
population ^nn++++=population
is ^vbz+bez+aux++=is
related ^vpsv++agls+xvbn+=related
to ^in++++=to
academic ^jj+atrb+++=academic
needs ^nns++++=needs.
. ^zz++++=EXTRAWORD
