As ^in++++=As
the ^ati++++=the
classical ^jj+atrb+++=classical
formulation ^nn++++=formulation
of ^in++++=of
Bradford ^np++++=Bradford's
's ^$++++=EXTRAWORD
Law ^nn++++=Law
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
anticipated ^vpsv++agls+xvbnx+=anticipated
that ^tht+vcmp+++=that
the ^ati++++=the
fit ^nn++++=fit
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
exact ^jj+pred+++=exact,
, ^zz++++=EXTRAWORD
as ^ql++++=as
multiple ^jj+atrb+++=multiple
variables ^nns++++=variables
influence ^vb++++=influence
the ^ati++++=the
empirical ^jj+atrb+++=empirical
distribution ^nn++++=distribution
of ^in++++=of
the ^ati++++=the
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
variables ^nns++++=variables
are ^vb+ber+aux++=are
not ^xnot++not++=not
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
in ^in++++=in
Bradford ^np++++=Bradford's
's ^$++++=EXTRAWORD
original ^nn++++=original
formula ^nn++++=formula
and ^cc++++=and
present ^nn++++=present
a ^at++++=a
significant ^jj+atrb+++=significant
challenge ^nn++++=challenge
for ^in++++=for
contemporary ^nn++++=contemporary
researchers ^nns+++??+=researchers
seeking ^vb+++xvbg+=seeking
to ^to+vcmp+++=to
refine ^vbi++++=refine
its ^pp$+it+++=its
mathematical ^jj+atrb+++=mathematical
representation ^nn++++=representation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
core ^nn++++=core
identified ^vwbn+++xvbn+=identified
through ^in++++=through
the ^ati++++=the
application ^nn++++=application
of ^in++++=of
the ^ati++++=the
Law ^nn++++=Law
effectively ^rb++++=effectively
highlighted ^vbd+++xvbn+=highlighted
a ^at++++=a
key ^jjb+atrb+++=key
aspect ^nn++++=aspect
of ^in++++=of
scientific ^jj+atrb+++=scientific
publishing ^jj+atrb++xvbg+=publishing
behavior ^nn++++=behavior
related ^vbd+++xvbn+=related
to ^in++++=to
Sars ^np+++??+=SARS:
: ^zz++++=EXTRAWORD
when ^wrb+who+++=when
certain ^jj+atrb+++=certain
journals ^nns++++=journals
are ^vb+ber+aux++=are
recognized ^vpsv++agls+xvbnx+=recognized
or ^cc++++=or
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
gain ^vbi++++=gain
recognition ^nn++++=recognition
within ^in++++=within
the ^ati++++=the
field ^nn++++=field,
, ^zz++++=EXTRAWORD
an ^at++++=an
increasing ^jj+atrb++xvbg+=increasing
number ^nn++++=number
of ^in++++=of
publications ^nns++++=publications
are ^vb+ber+aux++=are
directed ^vpsv++agls+xvbnx+=directed
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
To ^in++++=To
further ^jjb++++=further
assess ^vb++++=assess
this ^dt+dem+++=this
phenomenon ^nn++++=phenomenon,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
qualitative ^jj+atrb+++=qualitative
aspects ^nns++++=aspects
of ^in++++=of
these ^dt+dem+++=these
journals ^nns++++=journals,
, ^zz++++=EXTRAWORD
with ^in++++=with
impact ^nn++++=impact
factor ^nn++++=factor
indicators ^nns++++=indicators
serving ^vbg+++xvbg+=serving
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
reliable ^nn++++=reliable
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
