Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
incomplete ^jj++++=incomplete
understanding ^jj+++xvbg+=understanding
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
emotions ^nns++++=emotions
such ^abl++++=such
as ^ql++++=as
fear ^vb++++=fear
and ^cc++++=and
anxiety ^nn++++=anxiety
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
observed ^vpsv++agls+xvbnx+=observed.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
validation ^nn+++??+=validation
of ^in++++=of
knowledge ^nn++++=knowledge
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
improved ^jj+atrb++xvbn+=improved
methodologies ^nns+++??+=methodologies,
, ^zz++++=EXTRAWORD
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tactics ^nns++++=tactics
in ^in++++=in
teaching ^xvbg+++xvbg+=teaching
and ^cc++++=and
learning ^xvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interaction ^nn++++=interaction
between ^in++++=between
educators ^nns++++=educators
and ^cc++++=and
learners ^nns++++=learners
should ^md+nec+++=should
be ^vb+be+aux++=be
guided ^vpsv++by+xvbnx+=guided
by ^in++++=by
ethical ^jj+atrb+++=ethical
and ^cc+phrs+++=and
humanitarian ^jj+atrb+++=humanitarian
principles ^nns++++=principles
and ^cc++++=and
should ^md+nec+++=should
promote ^vb++++=promote
scientific ^jj+atrb+++=scientific
thinking ^nvbg+++xvbg+=thinking.
. ^zz++++=EXTRAWORD
Education ^nn++++=Education
thus ^rb+cnj+++=thus
plays ^vbz++++=plays
a ^at++++=a
central ^jj+atrb+++=central
role ^nn++++=role
in ^in++++=in
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
processes ^nns++++=processes
related ^vbd+++xvbn+=related
to ^in++++=to
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
need ^nn++++=need
for ^in++++=for
multidisciplinary ^nn+++??+=multidisciplinary
approaches ^nns++++=approaches
that ^tht+rel+++=that
foster ^jjb+atrb+++=foster
collaboration ^nn++++=collaboration
between ^in++++=between
the ^ati++++=the
fields ^nns++++=fields
of ^in++++=of
neuroscience ^nn++++=neuroscience
and ^cc++++=and
education ^nn++++=education.
. ^zz++++=EXTRAWORD
