During ^in++++=During
the ^ati++++=the
current ^jj+atrb+++=current
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
that ^tht+vcmp+++=that
patients ^nns++++=patients
with ^in++++=with
demyelinating ^nn+++??+=demyelinating
diseases ^nns++++=diseases
receive ^vb++++=receive
influenza ^nn++++=influenza
vaccination ^nn++++=vaccination,
, ^zz++++=EXTRAWORD
as ^ql++++=as
coinfection ^vb+++??+=coinfection
with ^in++++=with
this ^dt+dem+++=this
respiratory ^jj+atrb+++=respiratory
virus ^nn++++=virus
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
more ^rbr++++=more
severe ^jj+atrb+++=severe
clinical ^jj+atrb+++=clinical
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
immune ^jj+atrb+++=immune
response ^nn++++=response
to ^in++++=to
pneumococcal ^jj+atrb++??+=pneumococcal
vaccination ^nn++++=vaccination
is ^vbz+bez+aux++=is
significantly ^rb++splt++=significantly
reduced ^vpsv++agls+xvbnx+=reduced
in ^in++++=in
patients ^nns++++=patients
treated ^vwbn+++xvbn+=treated
with ^in++++=with
anti ^nn+++??+=anti-CD20
- ^zz++++=EXTRAWORD
cd20 ^nn+++??+=EXTRAWORD
monoclonal ^nn+++??+=monoclonal
antibodies ^nns++++=antibodies;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
advised ^vpsv++agls+xvbnx+=advised
that ^tht+vcmp+++=that
all ^abn++++=all
patients ^nns++++=patients
complete ^jj+atrb+++=complete
pneumococcal ^nn+++??+=pneumococcal
vaccination ^nn++++=vaccination
2 ^zz++++=2
3 ^zz++++=3
weeks ^nns++++=weeks
prior ^rb++++=prior
to ^in++++=to
initiating ^jj++++=initiating
such ^abl++++=such
therapy ^nn++++=therapy,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
a ^at++++=a
stepwise ^nn+++??+=stepwise
schedule ^nn++++=schedule
consisting ^vwbg+++xvbg+=consisting
of ^in++++=of
a ^at++++=a
Pcv13 ^np+++??+=PCV13
prime ^jjb+atrb+++=prime
dose ^nn++++=dose
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
a ^at++++=a
Ppsv23 ^np+++??+=PPSV23
booster ^nn++++=booster,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
minimum ^jj+atrb+++=minimum
interval ^nn++++=interval
of ^in++++=of
8 ^zz++++=8
weeks ^nns++++=weeks
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
vaccinations ^nns+++??+=vaccinations.
. ^zz++++=EXTRAWORD
For ^in++++=For
patients ^nns++++=patients
already ^rb++++=already
receiving ^vbg+++xvbg+=receiving
anti ^nn+++??+=anti-CD20
- ^zz++++=EXTRAWORD
cd20 ^nn+++??+=EXTRAWORD
therapies ^nns+++??+=therapies,
, ^zz++++=EXTRAWORD
vaccination ^nn++++=vaccination
should ^md+nec+++=should
be ^vb+be+aux++=be
administered ^vpsv++agls+xvbnx+=administered
at ^rb++++=at
least ^ql++++=least
2 ^zz++++=2
3 ^zz++++=3
weeks ^nns++++=weeks
before ^cs+sub+++=before
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
treatment ^nn++++=treatment
or ^cc++++=or
delayed ^vbd+++xvbn+=delayed
until ^cs+sub+++=until
5 ^zz++++=5
7 ^zz++++=7
months ^nns++++=months
after ^in++++=after
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
infusion ^nn++++=infusion.
. ^zz++++=EXTRAWORD
