During ^in++++=During
the ^ati++++=the
first ^rb++++=first
5 ^zz++++=5
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
herreri ^nn+++??+=herreri
oriented ^nn+++??+=oriented
their ^pp$+pp3+++=their
walks ^nns++++=walks
toward ^in++++=toward
the ^ati++++=the
cockroach ^nn++++=cockroach
in ^in++++=in
78 ^cd++++=78%
% ^zz++++=EXTRAWORD
of ^in++++=of
trials ^nns++++=trials
( ^zz++++=(P
p ^zz++++=EXTRAWORD
= ^zz++++==
0.012 ^nn+++??+=0.012),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
orientation ^nn++++=orientation
of ^in++++=of
B ^zz++++=B.
. ^zz++++=EXTRAWORD
corredori ^nn+++??+=corredori
( ^zz++++=(65%,
65 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
P ^zz++++=P
= ^zz++++==
0.169 ^nn+++??+=0.169)
) ^zz++++=EXTRAWORD
and ^cc++++=and
B ^zz++++=B.
. ^zz++++=EXTRAWORD
ferroae ^nn+++??+=ferroae
( ^zz++++=(58%,
58 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
P ^zz++++=P
= ^zz++++==
0.193 ^nn+++??+=0.193)
) ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
significantly ^rb++++=significantly
differ ^vb++++=differ
from ^in++++=from
random ^jj+atrb+++=random
expectation ^nn++++=expectation
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
chi ^np++++=chi-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
test ^nn++++=test
of ^in++++=of
independence ^nn++++=independence
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
the ^ati++++=the
three ^cd++++=three
species ^nn++++=species
did ^vbd+dod+aux++=did
not ^xnot++not++=not
exhibit ^vb++++=exhibit
significantly ^rb++++=significantly
different ^jj+atrb+++=different
behaviors ^nns+++??+=behaviors
( ^zz++++=(P
p ^zz++++=EXTRAWORD
= ^zz++++==
0.501 ^nn+++??+=0.501).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
data ^nns++++=data
from ^in++++=from
all ^rb++++=all
three ^cd++++=three
species ^nn++++=species
were ^vbd+bed+aux++=were
combined ^vpsv++agls+xvbnx+=combined
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
56 ^cd++++=56),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
of ^in++++=of
the ^ati++++=the
Belminus ^np+++??+=Belminus
genus ^nns+++??+=genus
oriented ^nn+++??+=oriented
their ^pp$+pp3+++=their
walks ^nns++++=walks
toward ^in++++=toward
the ^ati++++=the
cockroach ^nn++++=cockroach
in ^in++++=in
68 ^cd++++=68%
% ^zz++++=EXTRAWORD
of ^in++++=of
trials ^nns++++=trials
( ^zz++++=(P
p ^zz++++=EXTRAWORD
= ^zz++++==
0.0029 ^nn++++=0.0029).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
