Although ^cs+con+++=Although
intravenous ^jj+atrb+++=intravenous
steroids ^nns+++??+=steroids
are ^vb+ber+vrb++=are
the ^ati++++=the
standard ^jj+atrb+++=standard
treatment ^nn++++=treatment
for ^in++++=for
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
relapses ^nns+++??+=relapses,
, ^zz++++=EXTRAWORD
evidence ^nn++++=evidence
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
oral ^jj+atrb+++=oral
corticosteroids ^nns+++??+=corticosteroids
can ^md+pos+++=can
achieve ^vb++++=achieve
comparable ^jj+atrb+++=comparable
efficacy ^nn++++=efficacy.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
oral ^jj+atrb+++=oral
corticosteroids ^nns+++??+=corticosteroids
can ^md+pos+++=can
be ^vb+be+aux++=be
administered ^vpsv++agls+xvbnx+=administered
without ^in++++=without
compromising ^jj+atrb+++=compromising
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
approach ^nn++++=approach
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
a ^at++++=a
treatment ^nn++++=treatment
option ^nn++++=option
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
recommend ^vb+vsua+++=recommend
administering ^vbg+++xvbg+=administering
custom ^nn++++=custom-compounded
- ^zz++++=EXTRAWORD
compounded ^vbd+++xvbn+=EXTRAWORD
oral ^jj+atrb+++=oral
methylprednisolone ^nn+++??+=methylprednisolone
at ^rb++++=at
a ^at++++=a
dose ^nn++++=dose
of ^in++++=of
1000 ^cd++++=1000
mg ^nnu++++=mg
per ^nnu++++=per
day ^nn++++=day
for ^in++++=for
five ^cd++++=five
days ^nns++++=days.
. ^zz++++=EXTRAWORD
In ^in++++=In
settings ^nns++++=settings
where ^wrb+who+++=where
oral ^jj+atrb+++=oral
formulations ^nns++++=formulations
are ^vb+ber+vrb++=are
unavailable ^jj+pred+++=unavailable,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
is ^vbz+bez+vrb++=is
frequently ^rb++++=frequently
the ^ati++++=the
case ^nn++++=case
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
intravenous ^jj+atrb+++=intravenous
methylprednisolone ^nn+++??+=methylprednisolone
at ^rb++++=at
1000 ^cd++++=1000
mg ^nnu++++=mg
daily ^jj++++=daily
for ^in++++=for
five ^cd++++=five
days ^nns++++=days
is ^vbz+bez+aux++=is
advised ^vpsv++agls+xvbnx+=advised,
, ^zz++++=EXTRAWORD
preferably ^rb++++=preferably
within ^in++++=within
a ^at++++=a
day ^nn++++=day
hospital ^npl++++=hospital
setting ^vwbg+++xvbg+=setting.
. ^zz++++=EXTRAWORD
For ^in++++=For
patients ^nns++++=patients
with ^in++++=with
contraindications ^nns+++??+=contraindications
to ^in++++=to
high ^jj++++=high-dose
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
corticosteroids ^nns+++??+=corticosteroids,
, ^zz++++=EXTRAWORD
intravenous ^jj+atrb+++=intravenous
immunoglobulin ^nn+++??+=immunoglobulin
at ^rb++++=at
a ^at++++=a
total ^jj+atrb+++=total
dose ^nn++++=dose
of ^in++++=of
2 ^zz++++=2
g ^zz++++=g/kg
over ^rp++++=over
2 ^zz++++=2
to ^to++++=to
5 ^zz++++=5
days ^nns++++=days
is ^vbz+bez+vrb++=is
an ^at++++=an
appropriate ^jj+atrb+++=appropriate
alternative ^nn++++=alternative.
. ^zz++++=EXTRAWORD
