Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
population ^nn++++=population
size ^nn++++=size,
, ^zz++++=EXTRAWORD
economic ^jj+atrb+++=economic
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transport ^nn++++=transport
flow ^nn++++=flow
are ^vb+ber+vrb++=are
essential ^nn++++=essential
factors ^nns++++=factors
for ^in++++=for
understanding ^xvbg+++xvbg+=understanding
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
territory ^nn++++=territory
( ^zz++++=(12,
12 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
17 ^cd++++=17,
, ^zz++++=EXTRAWORD
18 ^cd++++=18).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mortality ^nn++++=mortality
rate ^nn++++=rate
exhibits ^nns++++=exhibits
a ^at++++=a
comparable ^jj+atrb+++=comparable
pattern ^nn++++=pattern
of ^in++++=of
territorial ^jj+atrb+++=territorial
distribution ^nn++++=distribution
in ^in++++=in
brazil ^np++++=Brazil
( ^zz++++=(19).
19 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
