Zootaxa ^np+++??+=Zootaxa,
, ^zz++++=EXTRAWORD
with ^in++++=with
approximately ^rb+down+++=approximately
15,000 ^cd++++=15,000
citations ^nns+++??+=citations,
, ^zz++++=EXTRAWORD
received ^j+++xvbn+=received
311 ^cd++++=311%
% ^zz++++=EXTRAWORD
more ^ql++++=more
citations ^nns+++??+=citations
than ^in++++=than
the ^ati++++=the
second ^od++++=second
most ^ql+emph+++=most
cited ^jj+atrb++xvbn+=cited
journal ^nn++++=journal,
, ^zz++++=EXTRAWORD
Zookeys ^np+++??+=ZooKeys,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
2010 ^cd++++=2010
2018 ^cd++++=2018
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
Supplementary ^jj+atrb+++=Supplementary
File ^nn++++=File
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
levels ^nns++++=levels
of ^in++++=of
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
are ^vb+ber+aux++=are
not ^xnot++not++=not
correlated ^vbd+++xvbn+=correlated
with ^in++++=with
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
citations ^nns+++??+=citations.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
7 ^zz++++=7
presents ^vbz++++=presents
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
citations ^nns+++??+=citations
alongside ^rb++++=alongside
journals ^nns++++=journals
exhibiting ^nn++++=exhibiting
similar ^jj+atrb+++=similar
patterns ^nns++++=patterns
in ^in++++=in
the ^ati++++=the
evaluated ^vpsv++agls+xvbn+=evaluated
metrics ^nns++++=metrics.
. ^zz++++=EXTRAWORD
