A ^at++++=A
major ^jj+atrb+++=major
criticism ^nn++++=criticism
of ^in++++=of
the ^ati++++=the
initial ^jj+atrb+++=initial
phase ^nn++++=phase
of ^in++++=of
this ^dt+dem+++=this
research ^nn++++=research
was ^vbd+bedz+vrb++=was
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis
conducted ^vbd+++xvbn+=conducted
on ^in++++=on
April ^nr++++=April
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
the ^ati++++=the
higher ^jjr+atrb+++=higher
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lethality ^nn+++??+=lethality
rates ^nns++++=rates
observed ^vbd+++xvbn+=observed
in ^in++++=in
countries ^nns++++=countries
without ^in++++=without
an ^at++++=an
active ^jj+atrb+++=active
vaccination ^nn++++=vaccination
program ^nn+++??+=program
could ^md+pos+++=could
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
these ^dt+dem+++=these
countries ^nns++++=countries
being ^vwbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
on ^in++++=on
average ^jj++++=average,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
days ^nns++++=days
ahead ^rb+pl+++=ahead
in ^in++++=in
the ^ati++++=the
epidemic ^nn++++=epidemic
timeline ^jj+++??+=timeline
compared ^jj+++xvbn+=compared
to ^in++++=to
countries ^nns++++=countries
with ^in++++=with
an ^at++++=an
active ^jj+atrb+++=active
program ^nn+++??+=program.
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nn++++=address
this ^dt+dem+++=this
potential ^jj+atrb+++=potential
temporal ^jj+atrb+++=temporal
bias ^nn++++=bias
in ^in++++=in
the ^ati++++=the
second ^od++++=second
phase ^nn++++=phase,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
compared ^vbd+++xvbn+=compared
data ^nns++++=data
from ^in++++=from
April ^nr++++=April
11 ^cd++++=11
to ^in++++=to
May ^md+pos+++=May
11 ^cd++++=11
for ^in++++=for
countries ^nns++++=countries
with ^in++++=with
active ^jj+atrb+++=active
vaccination ^nn++++=vaccination
programs ^nns+++??+=programs
to ^in++++=to
data ^nns++++=data
up ^in+cmpx+++=up
to ^in++++=to
April ^nr++++=April
11 ^cd++++=11
for ^in++++=for
countries ^nns++++=countries
without ^in++++=without
such ^abl++++=such
programs ^nns+++??+=programs.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
effectively ^rb++++=effectively
places ^nns++++=places
the ^ati++++=the
active ^jj+atrb+++=active
vaccination ^nn++++=vaccination
group ^nn++++=group
an ^at++++=an
average ^nn++++=average
of ^in++++=of
20 ^cd++++=20
days ^nns++++=days
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
reducing ^vbg+++xvbg+=reducing
the ^ati++++=the
likelihood ^nn++++=likelihood
of ^in++++=of
time ^nn++++=time-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
confounding ^nn+++??+=confounding
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
previous ^jj+atrb+++=previous
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Tables ^nns++++=Tables
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
even ^rb++++=even
with ^in++++=with
this ^dt+dem+++=this
temporal ^jj+atrb+++=temporal
adjustment ^nn++++=adjustment,
, ^zz++++=EXTRAWORD
countries ^nns++++=countries
in ^in++++=in
the ^ati++++=the
active ^jj+atrb+++=active
vaccination ^nn++++=vaccination
group ^nn++++=group
continue ^vb++++=continue
to ^to++++=to
exhibit ^vbi++++=exhibit
lower ^jjr+atrb+++=lower
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lethality ^nn+++??+=lethality
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
challenge ^vb++++=challenge
the ^ati++++=the
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
differences ^nns++++=differences
are ^vb+ber+vrb++=are
solely ^rb++++=solely
due ^jj+pred+++=due
to ^in+jcmp+++=to
temporal ^jj+atrb+++=temporal
factors ^nns++++=factors
and ^cc++++=and
support ^nn++++=support
the ^ati++++=the
conclusion ^nn++++=conclusion
that ^tht+ncmp+++=that
the ^ati++++=the
severity ^nn++++=severity
of ^in++++=of
disease ^nn++++=disease
impact ^nn++++=impact
is ^vbz+bez+aux++=is
not ^xnot++not++=not
maintained ^vprf+++xvbn+=maintained
over ^in++++=over
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
manner ^nn++++=manner
across ^in+pl+++=across
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
