Previous ^jj+atrb+++=Previous
research ^nn++++=research
on ^in++++=on
hurricanes ^nns++++=hurricanes,
, ^zz++++=EXTRAWORD
floods ^nns++++=floods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
infectious ^nns+++??+=infectious
disease ^nn++++=disease
epidemics ^nns++++=epidemics
has ^vbz+hvz+aux++=has
identified ^vprf+++xvbnx+=identified
a ^at++++=a
range ^nn++++=range
of ^in++++=of
adverse ^jj+atrb+++=adverse
psychological ^jj+atrb+++=psychological
reactions ^nns++++=reactions
in ^in++++=in
affected ^xvbn+++xvbn+=affected
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
including ^in++++=including
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
acute ^jj+atrb+++=acute
stress ^nn++++=stress,
, ^zz++++=EXTRAWORD
addictive ^nn+++??+=addictive
behaviors ^nns+++??+=behaviors,
, ^zz++++=EXTRAWORD
symptoms ^nns++++=symptoms
of ^in++++=of
post ^nn++++=post-traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
stress ^nn++++=stress
disorder ^nn++++=disorder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increased ^jj+atrb++xvbn+=increased
rates ^nns++++=rates
of ^in++++=of
suicide ^nn++++=suicide
and ^cc++++=and
depression ^nn++++=depression
during ^in++++=during
and ^cc++++=and
after ^in++++=after
such ^abl++++=such
events ^nns++++=events
( ^zz++++=(20).
20 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
these ^dt+dem+++=these
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
anticipated ^vpsv++agls+xvbnx+=anticipated
that ^tht+vcmp+++=that
similar ^jj+atrb+++=similar
psychological ^jj+atrb+++=psychological
effects ^nns++++=effects
will ^md+prd+++=will
occur ^vb++++=occur
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
current ^jj+atrb+++=current
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
