Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
clinically ^rb++++=clinically
active ^jj+atrb+++=active
inflammatory ^jj+atrb+++=inflammatory
bowel ^nn++++=bowel
disease ^nn++++=disease
( ^zz++++=(IBD)
ibd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
thiopurines ^nns+++??+=thiopurines
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
viral ^nn+++??+=viral
infections ^nns++++=infections
( ^zz++++=(16,17).
16,17 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
other ^ap++++=other
viruses ^nns++++=viruses
such ^abl++++=such
as ^ql++++=as
influenza ^nn++++=influenza,
, ^zz++++=EXTRAWORD
herpesvirus ^nns+++??+=herpesvirus,
, ^zz++++=EXTRAWORD
cytomegalovirus ^nns+++??+=cytomegalovirus,
, ^zz++++=EXTRAWORD
adenovirus ^nns+++??+=adenovirus,
, ^zz++++=EXTRAWORD
rhinovirus ^nns+++??+=rhinovirus,
, ^zz++++=EXTRAWORD
norovirus ^nns+++??+=norovirus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respiratory ^jj+atrb+++=respiratory
syncytial ^nn+++??+=syncytial
virus ^nn++++=virus,
, ^zz++++=EXTRAWORD
current ^jj+atrb+++=current
evidence ^nn++++=evidence
does ^vbz+doz+aux++=does
not ^xnot++not++=not
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
coronaviruses ^nns+++??+=coronaviruses
cause ^nn++++=cause
more ^rbr++++=more
severe ^jj+atrb+++=severe
disease ^nn++++=disease
in ^in++++=in
immunosuppressed ^nn++++=immunosuppressed
patients ^nns++++=patients
( ^zz++++=(13,15,17).
13,15,17 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
