Forty ^cd++++=Forty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years
passed ^vbd+++xvbn+=passed
before ^cs+sub+++=before
the ^ati++++=the
first ^od++++=first
study ^vb++++=study
on ^in++++=on
the ^ati++++=the
algal ^nn+++??+=algal
biodiversity ^nn+++??+=biodiversity
of ^in++++=of
Pefi ^np+++??+=PEFI
was ^vbd+bedz+aux++=was
published ^vpsv++agls+xvbnx+=published.
. ^zz++++=EXTRAWORD
Bicudo ^np+++??+=Bicudo
and ^cc++++=and
Bicudo ^np+++??+=Bicudo
( ^zz++++=(1962)
1962 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
conducted ^vbd+++xvbn+=conducted
a ^at++++=a
pioneering ^nn++++=pioneering
investigation ^nn++++=investigation
using ^vwbg+++xvbg+=using
material ^nn++++=material
collected ^vwbn+++xvbn+=collected
from ^in++++=from
the ^ati++++=the
hydrophytoterium ^nn+++??+=hydrophytoterium,
, ^zz++++=EXTRAWORD
an ^at++++=an
artificial ^jj+atrb+++=artificial
system ^nn++++=system
designed ^vbd+++xvbn+=designed
for ^in++++=for
the ^ati++++=the
display ^nn++++=display
of ^in++++=of
aquatic ^jj+atrb+++=aquatic
plants ^nns++++=plants
at ^in++++=at
the ^ati++++=the
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
Botanical ^np+++??+=Botanical
Gardens ^nns++++=Gardens.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
seventeen ^cd++++=seventeen
desmid ^nn+++??+=desmid
species ^nns++++=species
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
each ^dt++++=each
accompanied ^vpsv++by+xvbn+=accompanied
by ^in++++=by
descriptions ^nns++++=descriptions
and ^cc++++=and
illustrations ^nns++++=illustrations:
: ^zz++++=EXTRAWORD
Closterium ^np+++??+=Closterium
cynthia ^np++++=cynthia
De ^&fw++++=De
Notaris ^np++++=Notaris,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
leibleinii ^nn+++??+=leibleinii
K ^zz++++=K
tzing ^nn+++??+=tzing,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
moniliferum ^nn+++??+=moniliferum
( ^zz++++=(Bory)
bory ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Ehrenberg ^np+++??+=Ehrenberg,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
navicula ^nn+++??+=navicula
( ^zz++++=(Br
br ^nn+++??+=EXTRAWORD
bisson ^nn+++??+=bisson)
) ^zz++++=EXTRAWORD
L ^zz++++=L
tkemuller ^nn+++??+=tkemuller,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
parvulum ^nn+++??+=parvulum
N ^zz++++=N
geli ^nn+++??+=geli,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
setaceum ^nn+++??+=setaceum
Ehrenberg ^np+++??+=Ehrenberg,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
venus ^np++++=venus
K ^zz++++=K
tzing ^nn+++??+=tzing,
, ^zz++++=EXTRAWORD
Desmidium ^np+++??+=Desmidium
cylindricum ^nn+++??+=cylindricum
Greville ^np+++??+=Greville,
, ^zz++++=EXTRAWORD
Euastrum ^np+++??+=Euastrum
ansatum ^nn+++??+=ansatum
Ehrenberg ^np+++??+=Ehrenberg,
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
oblongum ^nn+++??+=oblongum
( ^zz++++=(Greville)
greville ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Ralfs ^np+++??+=Ralfs,
, ^zz++++=EXTRAWORD
Micrasterias ^np+++??+=Micrasterias
denticulata ^nn+++??+=denticulata
Br ^np+++??+=Br
bisson ^nn+++??+=bisson,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
laticeps ^nns+++??+=laticeps
Nordstedt ^np+++??+=Nordstedt,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
rotata ^nn+++??+=rotata
