Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Computed ^xvbn+++xvbn+=Computed
tomography ^nn+++??+=tomography
( ^zz++++=(CT)
ct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
demonstrates ^vbz+vpub+++=demonstrates
high ^jj+atrb+++=high
accuracy ^nn++++=accuracy
in ^in++++=in
the ^ati++++=the
diagnosis ^nn++++=diagnosis
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
different ^jj+atrb+++=different
interpretation ^nn++++=interpretation
criteria ^nns++++=criteria
allows ^vbz++++=allows
for ^in+ppvb+++=for
the ^ati++++=the
prioritization ^nn+++??+=prioritization
of ^in++++=of
either ^dtx++++=either
sensitivity ^nn++++=sensitivity
or ^cc++++=or
specificity ^nn++++=specificity,
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
clinical ^jj+atrb+++=clinical
requirements ^nns++++=requirements.
. ^zz++++=EXTRAWORD
In ^in++++=In
resource ^nn++++=resource-limited
- ^zz++++=EXTRAWORD
limited ^jj+atrb++xvbn+=EXTRAWORD
settings ^nns++++=settings
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
Ct ^np+++??+=CT
may ^md+pos+++=may
be ^vb+be+aux++=be
effectively ^rb++splt++=effectively
integrated ^vpsv++agls+xvbnx+=integrated
as ^ql++++=as
a ^at++++=a
triage ^nn+++??+=triage
tool ^nn++++=tool
to ^in++++=to
optimize ^nn+++??+=optimize
the ^ati++++=the
allocation ^nn++++=allocation
of ^in++++=of
Pcr ^np+++??+=PCR
testing ^vwbg+++xvbg+=testing,
, ^zz++++=EXTRAWORD
isolation ^nn++++=isolation
beds ^nns++++=beds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intensive ^jj+atrb+++=intensive
care ^nn++++=care
unit ^nn++++=unit
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
