Quantitative ^jj+atrb+++=Quantitative
reverse ^nn++++=reverse
transcriptase ^nn+++??+=transcriptase
polymerase ^nn+++??+=polymerase
chain ^nn++++=chain
reaction ^nn++++=reaction
( ^zz++++=(qRT-PCR)
qrt ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
the ^ati++++=the
gold ^nn++++=gold
standard ^nn++++=standard
for ^in++++=for
virus ^nn++++=virus
detection ^nn++++=detection
and ^cc++++=and
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
confirmation ^nn++++=confirmation
[ ^zz++++=[9].
9 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
several ^ap++++=several
studies ^nns++++=studies
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
a ^at++++=a
high ^jj+atrb+++=high
prevalence ^nn+++??+=prevalence
of ^in++++=of
false ^jj++++=false-negative
- ^zz++++=EXTRAWORD
negative ^jj+atrb+++=EXTRAWORD
results ^nns++++=results,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
biological ^jj+atrb+++=biological
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
inadequate ^jj+atrb+++=inadequate
sample ^nn++++=sample
collection ^nn++++=collection,
, ^zz++++=EXTRAWORD
fluctuations ^nns++++=fluctuations
in ^in++++=in
viral ^nn+++??+=viral
load ^nn++++=load,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
interval ^nn++++=interval
between ^in++++=between
sample ^nn++++=sample
collection ^nn++++=collection
and ^cc++++=and
symptom ^nn++++=symptom
onset ^nn++++=onset
[ ^zz++++=[10].
10 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
serological ^jj+atrb+++=serological
tests ^nns++++=tests
to ^to++++=to
detect ^vbi++++=detect
acute ^jj++++=acute-phase
- ^zz++++=EXTRAWORD
phase ^nn++++=EXTRAWORD
antibodies ^nns++++=antibodies
( ^zz++++=(IgM)
igm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
memory ^nn++++=memory
antibodies ^nns++++=antibodies
( ^zz++++=(IgG)
igg ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
also ^rb++++=also
important ^jj+pred+++=important.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
rapid ^jj+atrb+++=rapid
results ^nns++++=results,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
crucial ^jj+pred+++=crucial
to ^to++++=to
employ ^vbi++++=employ
diagnostic ^nn+++??+=diagnostic
tests ^nns++++=tests
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
simple ^jj+pred+++=simple,
, ^zz++++=EXTRAWORD
sensitive ^jj++++=sensitive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
specific ^jj++++=specific,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
immediate ^jj+atrb+++=immediate
and ^cc+phrs+++=and
accurate ^jj+atrb+++=accurate
identification ^nn++++=identification
of ^in++++=of
individuals ^nns++++=individuals
infected ^vbd+++xvbn+=infected
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
to ^to++++=to
support ^vbi++++=support
effective ^jj+atrb+++=effective
control ^nn++++=control
of ^in++++=of
viral ^nn+++??+=viral
transmission ^nn++++=transmission
and ^cc++++=and
enable ^vb++++=enable
timely ^jj+atrb+++=timely
public ^jj+atrb+++=public
health ^nn++++=health
interventions ^nns++++=interventions
[ ^zz++++=[11].
11 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
