As ^in++++=As
the ^ati++++=the
global ^jj+atrb+++=global
incidence ^nn++++=incidence
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
continues ^vbz++++=continues
to ^to++++=to
rise ^vbi++++=rise,
, ^zz++++=EXTRAWORD
concurrent ^jj+atrb+++=concurrent
outbreaks ^nns++++=outbreaks
of ^in++++=of
arboviral ^nn+++??+=arboviral
infections ^nns++++=infections
have ^vb+hv+aux++=have
placed ^vprf+++xvbnx+=placed
additional ^jj+atrb+++=additional
strain ^nn++++=strain
on ^in++++=on
health ^nn++++=health
systems ^nns++++=systems
in ^in++++=in
tropical ^jj+atrb+++=tropical
regions ^nns++++=regions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
potential ^jj+atrb+++=potential
impact ^nn++++=impact
of ^in++++=of
a ^at++++=a
syndemic ^nn+++??+=syndemic
involving ^vwbg+++xvbg+=involving
both ^abx++++=both
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
and ^cc++++=and
arboviral ^nn+++??+=arboviral
infections ^nns++++=infections
on ^in++++=on
patient ^nn++++=patient
outcomes ^nns+++??+=outcomes
and ^cc++++=and
health ^nn++++=health
system ^nn++++=system
capacity ^nn++++=capacity
remains ^nns++++=remains
unclear ^nn+++??+=unclear.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+aux++=is
to ^to++++=to
systematically ^rb++splt++=systematically
review ^vbi++++=review
the ^ati++++=the
literature ^nn++++=literature
to ^to++++=to
identify ^vbi++++=identify
and ^cc++++=and
synthesize ^jj+atrb++??+=synthesize
evidence ^nn++++=evidence
regarding ^in++++=regarding
the ^ati++++=the
clinical ^jj+atrb+++=clinical
presentation ^nn++++=presentation,
, ^zz++++=EXTRAWORD
severity ^nn++++=severity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prognosis ^nn++++=prognosis
of ^in++++=of
coinfection ^nn+++??+=coinfection
with ^in++++=with
sars ^np++++=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
and ^cc++++=and
arboviruses ^nns++++=arboviruses.
. ^zz++++=EXTRAWORD
