A ^at++++=A
study ^nn++++=study
evaluating ^nn+++??+=evaluating
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
case ^nn++++=case
isolation ^nn++++=isolation
in ^in++++=in
controlling ^xvbg+++xvbg+=controlling
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
isolation ^nn++++=isolation
alone ^rb++++=alone
may ^md+pos+++=may
be ^vb+be+vrb++=be
sufficient ^jj+pred+++=sufficient
for ^in++++=for
outbreak ^nn++++=outbreak
control ^nn++++=control
over ^in++++=over
a ^at++++=a
three ^cd++++=three-month
- ^zz++++=EXTRAWORD
month ^nn++++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
implemented ^vbd+++xvbn+=implemented
during ^in++++=during
periods ^nns++++=periods
of ^in++++=of
low ^jj+atrb+++=low
transmission ^nn++++=transmission
and ^cc++++=and
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
symptoms.21 ^nn+++??+=symptoms.21
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
isolation ^nn++++=isolation
without ^in++++=without
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
additional ^jj+atrb+++=additional
preventive ^jj+atrb+++=preventive
measures ^nns++++=measures
may ^md+pos+++=may
be ^vb+be+vrb++=be
inadequate ^jj+pred+++=inadequate
for ^in++++=for
comprehensive ^jj+atrb+++=comprehensive
outbreak ^nn++++=outbreak
control ^nn++++=control.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
emphasize ^vbi++++=emphasize
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
proper ^jj+atrb+++=proper
hand ^nn++++=hand
hygiene ^nn++++=hygiene,
, ^zz++++=EXTRAWORD
mask ^nn++++=mask
usage ^nn++++=usage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
surface ^nn++++=surface
disinfection ^nn+++??+=disinfection,
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
measures ^nns++++=measures
collectively ^nn++++=collectively
contribute ^vb++++=contribute
to ^to++++=to
the ^ati++++=the
prevention ^nn++++=prevention
of ^in++++=of
viral ^nn++++=viral
transmission.8,22 ^nn++++=transmission.8,22
