Materials ^nns++++=Materials:
: ^zz++++=EXTRAWORD
Prior ^rb++++=Prior
to ^in++++=to
initiating ^jj++++=initiating
the ^ati++++=the
procedure ^nn++++=procedure,
, ^zz++++=EXTRAWORD
ensure ^vb+vprv+++=ensure
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
two ^cd++++=two
standard ^jj+atrb+++=standard
plastic ^nn++++=plastic
suction ^nn++++=suction
or ^cc++++=or
irrigation ^nn++++=irrigation
tubes ^nns++++=tubes,
, ^zz++++=EXTRAWORD
a ^at++++=a
water ^nn++++=water
seal ^nn++++=seal
device ^nn++++=device,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
sterile ^jj+atrb+++=sterile
transparent ^jj+atrb+++=transparent
plastic ^nn++++=plastic
bag ^nn++++=bag
intended ^vwbn+vsua++xvbn+=intended
for ^in++++=for
laparoscopic ^nn+++??+=laparoscopic
optic ^nn+++??+=optic
coverage ^nn++++=coverage.
. ^zz++++=EXTRAWORD
Confirm ^vb+vpub+++=Confirm
that ^tht+vcmp+++=that
the ^ati++++=the
nurse ^nn++++=nurse
assistant ^nn++++=assistant
prepares ^vbz++++=prepares
a ^at++++=a
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
or ^cc++++=or
2.5 ^cd++++=2.5%
% ^zz++++=EXTRAWORD
hypochlorous ^nns+++??+=hypochlorous
acid ^nn++++=acid
( ^zz++++=(HClO)
hclo ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
solution ^nn++++=solution
by ^in++++=by
diluting ^nn+++??+=diluting
25 ^cd++++=25
ml ^nnu++++=mL
of ^in++++=of
hypochlorous ^nns+++??+=hypochlorous
acid ^jj++++=acid
in ^in++++=in
975 ^cd++++=975
ml ^nnu++++=mL
of ^in++++=of
water ^nn++++=water
to ^to++++=to
obtain ^vbi++++=obtain
a ^at++++=a
total ^jj+atrb+++=total
volume ^nn++++=volume
of ^in++++=of
1000 ^cd++++=1000
ml ^nnu++++=mL,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
concentration ^nn++++=concentration
has ^vbz+hvz+aux++=has
recently ^rb+tm+splt++=recently
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
to ^to+vcmp+++=to
inactivate ^vb+++??+=inactivate
the ^ati++++=the
virus ^nn++++=virus.
. ^zz++++=EXTRAWORD
Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
a ^at++++=a
stabilized ^jj+atrb++xvbn+=stabilized
chlorine ^nn+++??+=chlorine
dioxide ^nn++++=dioxide
solution ^nn++++=solution
at ^in++++=at
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++by+xvbnx+=used
by ^in++++=by
diluting ^nn+++??+=diluting
5 ^zz++++=5
ml ^nnu++++=mL
of ^in++++=of
the ^ati++++=the
product ^nn++++=product
in ^in++++=in
1000 ^cd++++=1000
ml ^nnu++++=mL
of ^in++++=of
water ^nn++++=water.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
solutions ^nns++++=solutions
are ^vb+ber+aux++=are
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
fill ^vbi++++=fill
the ^ati++++=the
water ^nn++++=water
seal ^nn++++=seal
reservoir ^nn++++=reservoir,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
the ^ati++++=the
distal ^jj+atrb+++=distal
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
plastic ^nn++++=plastic
cannula ^nn++++=cannula
to ^to++++=to
be ^vbi+vbi+aux++=be
submerged ^vpsv++agls+xvbnx+=submerged
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^in++++=After
filling ^xvbg+++xvbg+=filling,
, ^zz++++=EXTRAWORD
securely ^rb++++=securely
close ^rb++++=close
the ^ati++++=the
reservoir ^nn++++=reservoir
with ^in++++=with
the ^ati++++=the
designated ^jj+atrb++xvbn+=designated
cover ^nn++++=cover
and ^cc++++=and
connect ^vb++++=connect
the ^ati++++=the
first ^od++++=first
suction ^nn++++=suction
tube ^nn++++=tube
to ^in++++=to
the ^ati++++=the
water ^nn++++=water
seal ^nn++++=seal
at ^rb++++=at
orifice ^nn++++=orifice
a ^at++++=A,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
figure ^nn++++=Figure
2a ^cd++++=2A.
. ^zz++++=EXTRAWORD
