Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
closely ^rb++++=closely
related ^xvbn+++xvbn+=related
species ^nns++++=species
may ^md+pos+++=may
exhibit ^vb++++=exhibit
comparable ^jj+atrb+++=comparable
levels ^nns++++=levels
of ^in++++=of
susceptibility ^nn++++=susceptibility
to ^in++++=to
a ^at++++=a
pathogen ^nn+++??+=pathogen,
, ^zz++++=EXTRAWORD
independent ^jj++++=independent
of ^in++++=of
their ^pp$+pp3+++=their
phylogenetic ^jj+atrb+++=phylogenetic
distance ^nn++++=distance
from ^in++++=from
the ^ati++++=the
pathogen ^nn+++??+=pathogen
s ^zz++++=s
primary ^jj+atrb+++=primary
host ^nn++++=host
( ^zz++++=(Longdon
longdon ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
high ^jj+atrb+++=high
degree ^nn++++=degree
of ^in++++=of
homology ^nn+++??+=homology
between ^in++++=between
the ^ati++++=the
Ace2 ^np+++??+=ACE2
orthologues ^nns+++??+=orthologues
of ^in++++=of
great ^jj+atrb+++=great
apes ^nns+++??+=apes
and ^cc++++=and
the ^ati++++=the
human ^jj+atrb+++=human
Ace2 ^np+++??+=ACE2
at ^in++++=at
the ^ati++++=the
30 ^cd++++=30
binding ^jj+atrb+++=binding
sites ^nns++++=sites
analyzed ^nn+++??+=analyzed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
plausible ^jj+pred+++=plausible
that ^dt+dem+++=that
only ^rb+down+++=only
great ^jj+atrb+++=great
apes ^nns+++??+=apes
are ^vb+ber+vrb++=are
naturally ^rb++++=naturally
and ^cc+phrs+++=and
equally ^rb++++=equally
susceptible ^jj++++=susceptible
to ^to++++=to
developing ^vbi++++=developing
symptoms ^nns++++=symptoms
of ^in++++=of
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
concern ^nn++++=concern
previously ^rb+tm+++=previously
highlighted ^vpsv++by+xvbn+=highlighted
by ^in++++=by
the ^ati++++=the
Great ^jj+atrb+++=Great
Ape ^np+++??+=Ape
Health ^nn++++=Health
Consortium ^nn++++=Consortium
 ^zz++++=(Gillespie
Gillespie ^np++++=EXTRAWORD
And ^cc++++=and
Leendertz ^np++++=Leendertz,
 ^zz++++=EXTRAWORD
020 ^cd++++=2020).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
