Any ^dti++++=Any
pharmacological ^jj+atrb+++=pharmacological
intervention ^nn++++=intervention,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
administered ^xvbn+++xvbn+=administered
as ^ql++++=as
a ^at++++=a
monotherapy ^nn+++??+=monotherapy
or ^cc++++=or
in ^in++++=in
combination ^nn++++=combination
with ^in++++=with
other ^ap++++=other
treatments ^nns++++=treatments,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
covid ^np++++=COVID-19.
- ^zz++++=EXTRAWORD
19. ^nn++++=EXTRAWORD
