Every ^at++++=Every
precaution ^nn++++=precaution
should ^md+nec+++=should
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
to ^to+vcmp+++=to
avoid ^vbi++++=avoid
damaging ^jj+++xvbg+=damaging
the ^ati++++=the
cuff ^nn++++=cuff
of ^in++++=of
the ^ati++++=the
endotracheal ^nn+++??+=endotracheal
tube ^nn++++=tube
during ^in++++=during
the ^ati++++=the
performance ^nn++++=performance
of ^in++++=of
tracheal ^jj+atrb+++=tracheal
cuff ^nn++++=cuff
testing ^nn++++=testing
( ^zz++++=(TCT).
tct ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
