To ^in++++=To
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^od++++=first
study ^vb++++=study
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
associations ^nns++++=associations
between ^in++++=between
moderate ^jj++++=moderate-to-vigorous
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
vigorous ^jj+atrb+++=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MVPA),
mvpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
vigorous ^jj+atrb+++=vigorous
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(VPA),
vpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MPA),
mpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sedentary ^jj+atrb++??+=sedentary
behavior ^nn++++=behavior
( ^zz++++=(SB)
sb ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
( ^zz++++=(D&A)
d&a ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
symptoms ^nns++++=symptoms
among ^in++++=among
adults ^nns++++=adults
in ^in++++=in
self ^nn++++=self-isolation
- ^zz++++=EXTRAWORD
isolation ^nn++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
of ^in++++=of
participants ^nns++++=participants
reported ^vbd+vpub++xvbn+=reported
engaging ^vbg+++xvbg+=engaging
in ^in++++=in
at ^in++++=at
least ^ql++++=least
30 ^cd++++=30
minutes ^nns++++=minutes
of ^in++++=of
Mvpa ^np+++??+=MVPA
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
about ^in++++=about
one ^cd1++++=one
third ^od++++=third
reported ^vbd+vpub++xvbn+=reported
spending ^vbg+++xvbg+=spending
10 ^cd++++=10
or ^cc++++=or
more ^ql++++=more
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day
in ^in++++=in
Sb ^np+++??+=SB.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prevalence ^nn+++??+=prevalence
of ^in++++=of
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
was ^vbd+bedz+vrb++=was
around ^rp++++=around
40 ^cd++++=40%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
third ^nn++++=third
of ^in++++=of
participants ^nns++++=participants
reported ^vbd+vpub++xvbn+=reported
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
Individuals ^nns++++=Individuals
who ^whp+rel+subj++=who
reported ^vbn+vpub++xvbn+=reported
at ^rb++++=at
least ^ql++++=least
30 ^cd++++=30
minutes ^nns++++=minutes
of ^in++++=of
Mvpa ^np+++??+=MVPA
per ^nnu++++=per
day ^nn++++=day
were ^vbd+bed+vrb++=were
approximately ^rb+down+++=approximately
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
less ^rbr++++=less
likely ^jj++++=likely
to ^to+jcmp+++=to
exhibit ^vbi++++=exhibit
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms
after ^in++++=after
adjusting ^nn++++=adjusting
for ^in++++=for
relevant ^jj+atrb+++=relevant
covariates ^nns+++??+=covariates.
. ^zz++++=EXTRAWORD
Participants ^nns++++=Participants
engaging ^vwbg+++xvbg+=engaging
in ^in++++=in
at ^in++++=at
least ^ql++++=least
15 ^cd++++=15
minutes ^nns++++=minutes
of ^in++++=of
Vpa ^np+++??+=VPA
per ^nnu++++=per
day ^nn++++=day
were ^vbd+bed+vrb++=were
about ^in++++=about
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
less ^rbr++++=less
likely ^jj++++=likely
to ^to+jcmp+++=to
report ^vb++++=report
prevalent ^jj+atrb+++=prevalent
depressive ^nn+++??+=depressive
and ^cc++++=and
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
less ^rbr++++=less
likely ^jj++++=likely
to ^to+jcmp+++=to
report ^vb++++=report
prevalent ^jj+atrb+++=prevalent
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
spent ^vbd+++xvbn+=spent
10 ^cd++++=10
or ^cc++++=or
more ^ql++++=more
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day
in ^in++++=in
Sb ^np+++??+=SB
were ^vbd+bed+vrb++=were
39 ^cd++++=39%
% ^zz++++=EXTRAWORD
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
report ^vb++++=report
prevalent ^jj+atrb+++=prevalent
depressive ^nn++++=depressive
symptoms ^nns++++=symptoms
in ^in++++=in
adjusted ^xvbn+++xvbn+=adjusted
models ^nns++++=models.
. ^zz++++=EXTRAWORD
