Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
To ^in++++=To
analyze ^nn+++??+=analyze
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
by ^in++++=by
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
global ^jj+atrb+++=global
experience ^nn++++=experience
with ^in++++=with
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
prevention ^nn++++=prevention
measures ^vbz++++=measures
recommended ^vpsv++by+xvbn+=recommended
by ^in++++=by
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
to ^to++++=to
provide ^vbi+vsua+++=provide
an ^at++++=an
epidemiological ^nn+++??+=epidemiological
overview ^nn+++??+=overview
at ^rb++++=at
the ^ati++++=the
global ^jj+atrb+++=global
level ^nn++++=level,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
specific ^jj+atrb+++=specific
focus ^nn++++=focus
on ^in++++=on
Latin ^jj+atrb+++=Latin
America ^np++++=America
and ^cc++++=and
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
identify ^vbi++++=identify
key ^jjb+atrb+++=key
lessons ^nns++++=lessons
learned ^vbd+vprv++xvbn+=learned
from ^in++++=from
these ^dt+dem+++=these
experiences ^nns++++=experiences.
. ^zz++++=EXTRAWORD
