Wear ^vb++++=Wear
disposable ^jj+atrb+++=disposable
gowns ^nns++++=gowns
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
resistant ^jj+pred+++=resistant
to ^in++++=to
liquids ^nns++++=liquids
and ^cc++++=and
fluids ^nns++++=fluids
( ^zz++++=(waterproof).
waterproof ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
permeable ^nn+++??+=permeable
gown ^nn++++=gown
is ^vbz+bez+aux++=is
used ^vpsv++agls+xvbnx+=used,
, ^zz++++=EXTRAWORD
a ^at++++=a
disposable ^jj+atrb+++=disposable
plastic ^nn++++=plastic
gown ^nn++++=gown
should ^md+nec+++=should
be ^vb+be+aux++=be
worn ^vpsv++agls+xvbnx+=worn
underneath ^in+strn+++=underneath.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gown ^nn++++=gown
must ^md+nec+++=must
be ^vb+be+aux++=be
sterilized ^vpsv++agls+xvbnx+=sterilized,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
long ^jj+atrb+++=long
sleeves ^nns++++=sleeves
with ^in++++=with
mesh ^nn++++=mesh
or ^cc++++=or
elastic ^jj+atrb+++=elastic
cuffs ^nns++++=cuffs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
feature ^nn++++=feature
a ^at++++=a
rear ^jjb+atrb+++=rear
opening ^nvbg+++xvbg+=opening.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+aux++=be
constructed ^vpsv++agls+xvbnx+=constructed
from ^in++++=from
high ^jj++++=high-quality,
- ^zz++++=EXTRAWORD
quality ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
non ^&fw++++=non-allergenic,
- ^zz++++=EXTRAWORD
allergenic ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
durable ^jj+atrb+++=durable
materials ^nns++++=materials.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gown ^nn++++=gown
must ^md+nec+++=must
provide ^vb+vsua+++=provide
an ^at++++=an
effective ^jj+atrb+++=effective
antimicrobial ^nn+++??+=antimicrobial
barrier ^nn++++=barrier,
, ^zz++++=EXTRAWORD
facilitate ^vb++++=facilitate
the ^ati++++=the
performance ^nn++++=performance
of ^in++++=of
tasks ^nns++++=tasks
comfortably ^rb+cnj+++=comfortably,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
available ^jj+pred+++=available
in ^in++++=in
various ^jj+atrb+++=various
sizes ^nns++++=sizes.
. ^zz++++=EXTRAWORD
