During ^in++++=During
the ^ati++++=the
preparation ^nn++++=preparation
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
a ^at++++=a
paper ^nn++++=paper
was ^vbd+bedz+aux++=was
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
authors ^nns++++=authors
conducted ^vbd+++xvbn+=conducted
an ^at++++=an
analysis ^nn++++=analysis
up ^in+cmpx+++=up
to ^in++++=to
March ^nr++++=March
21 ^cd++++=21
and ^cc++++=and
reported ^vbd+vpub++xvbn+=reported
similar ^jj+atrb+++=similar
correlations ^nns++++=correlations
between ^in++++=between
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
Bcg ^np+++??+=BCG
vaccination ^nn++++=vaccination
and ^cc++++=and
both ^abx++++=both
the ^ati++++=the
incidence ^nn++++=incidence
and ^cc++++=and
lethality ^nn+++??+=lethality
of ^in++++=of
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
data ^nns++++=data
sources ^nns++++=sources
were ^vbd+bed+vrb++=were
comparable ^jj+pred+++=comparable,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
utilized ^vbd+++xvbn+=utilized
initial ^jj+atrb+++=initial
acceleration ^nn++++=acceleration
rates ^nns++++=rates
for ^in++++=for
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
cases ^nns++++=cases
and ^cc++++=and
deaths ^nns++++=deaths
( ^zz++++=(from
from ^in++++=EXTRAWORD
0 ^zz++++=0
to ^to++++=to
100 ^cd++++=100)
) ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
subsequent ^jj+atrb+++=subsequent
acceleration ^nn++++=acceleration
rates ^nns++++=rates
( ^zz++++=(from
from ^in++++=EXTRAWORD
101 ^cd++++=101
cases ^nns++++=cases
or ^cc++++=or
deaths ^nns++++=deaths
to ^in++++=to
April ^nr++++=April
11 ^cd++++=11).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
plan ^nn++++=plan
to ^to+ncmp+++=to
extend ^vbi++++=extend
this ^dt+dem+++=this
analysis ^nn++++=analysis
by ^in++++=by
examining ^xvbg+++xvbg+=examining
acceleration ^nn++++=acceleration
rates ^nns++++=rates
from ^in++++=from
April ^nr++++=April
11 ^cd++++=11
to ^in++++=to
May ^md+pos+++=May
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
subsequently ^rb+tm+++=subsequently
from ^in++++=from
may ^md+pos+++=May
11 ^cd++++=11
to ^in++++=to
june ^nr++++=June
11 ^cd++++=11.
. ^zz++++=EXTRAWORD
