A ^at++++=A
total ^nn++++=total
of ^in++++=of
2,857 ^cd++++=2,857
blood ^nn++++=blood
donors ^nns++++=donors
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
study ^nn++++=study.
. ^zz++++=EXTRAWORD
All ^abn++++=All
participants ^nns++++=participants
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
for ^in++++=for
Igg ^np+++??+=IgG
and ^cc++++=and
Igm ^np+++??+=IgM
anti ^nn+++??+=anti-SARS-CoV-2
- ^zz++++=EXTRAWORD
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
antibodies ^nns++++=antibodies
using ^vwbg+++xvbg+=using
a ^at++++=a
rapid ^jj+atrb+++=rapid
test ^nn++++=test.
. ^zz++++=EXTRAWORD
The ^ati++++=The
overall ^jjb+atrb+++=overall
prevalence ^nn+++??+=prevalence
of ^in++++=of
antibodies ^nns++++=antibodies
was ^vbd+bedz+vrb++=was
4 ^zz++++=4%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Detailed ^jj+atrb+++=Detailed
results ^nns++++=results
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
tables ^nns++++=Tables
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
