The ^ati++++=The
recent ^jj+atrb+++=recent
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^vb+++??+=pandemic
developed ^vbd+++xvbn+=developed
into ^in++++=into
a ^at++++=a
global ^jj+atrb+++=global
public ^jj+atrb+++=public
health ^nn++++=health
crisis ^nn++++=crisis.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
transmitted ^vpsv++agls+xvbnx+=transmitted
through ^in++++=through
contact ^nn++++=contact
with ^in++++=with
contaminated ^jj+atrb++xvbn+=contaminated
surfaces ^nns++++=surfaces
and ^cc++++=and
exposure ^nn++++=exposure
to ^in++++=to
bodily ^jj+atrb+++=bodily
fluids ^nns++++=fluids
from ^in++++=from
infected ^xvbn+++xvbn+=infected
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
including ^in++++=including
saliva ^nn++++=saliva
and ^cc++++=and
aerosols ^nns+++??+=aerosols.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
modes ^nns++++=modes
of ^in++++=of
transmission ^nn++++=transmission
identify ^vb++++=identify
dental ^jj+atrb+++=dental
offices ^nns++++=offices
as ^in++++=as
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
environments ^nns++++=environments
for ^in++++=for
cross ^jj++++=cross-infection
- ^zz++++=EXTRAWORD
infection ^nn++++=EXTRAWORD
among ^in++++=among
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
dentists ^nns++++=dentists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
healthcare ^nn+++??+=healthcare
professionals ^nns++++=professionals,
, ^zz++++=EXTRAWORD
including ^in++++=including
those ^dt+dem+++=those
working ^jj+++xvbg+=working
in ^in++++=in
hospital ^nn++++=hospital-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
dental ^jj+atrb+++=dental
intensive ^jj+atrb+++=intensive
care ^nn++++=care
units ^nns++++=units.
. ^zz++++=EXTRAWORD
Dental ^jj+atrb+++=Dental
practitioners ^nns++++=practitioners
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
vulnerable ^jj++++=vulnerable
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
close ^jj+atrb+++=close
proximity ^nn++++=proximity
to ^in++++=to
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
frequent ^jj+atrb+++=frequent
exposure ^nn++++=exposure
to ^in++++=to
saliva ^nn++++=saliva
and ^cc++++=and
aerosols ^nns+++??+=aerosols,
, ^zz++++=EXTRAWORD
contact ^nn++++=contact
with ^in++++=with
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
handling ^nn++++=handling
of ^in++++=of
sharp ^jj++++=sharp,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
contaminated ^jj+atrb+++=contaminated
instruments ^nns++++=instruments.
. ^zz++++=EXTRAWORD
