Data ^nns++++=Data
extraction ^nn++++=extraction
will ^md+prd+++=will
be ^vb+be+aux++=be
performed ^vpsv++agls+xvbnx+=performed
independently ^rb++++=independently
by ^in++++=by
two ^cd++++=two
authors ^nns++++=authors
( ^zz++++=(CRRF
crrf ^nn+++??+=EXTRAWORD
and ^cc++++=and
Fsar ^np+++??+=FSAR).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
discrepancies ^nns++++=discrepancies
or ^cc++++=or
disagreements ^nns++++=disagreements
will ^md+prd+++=will
be ^vb+be+aux++=be
resolved ^vpsv++agls+xvbnx+=resolved
through ^in++++=through
discussion ^nn++++=discussion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
by ^in++++=by
consultation ^nn++++=consultation
with ^in++++=with
a ^at++++=a
third ^nn++++=third
author ^nn++++=author
( ^zz++++=(VFMT).
vfmt ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
standardized ^nn+++??+=standardized
data ^nns++++=data
extraction ^nn++++=extraction
form ^nn++++=form
will ^md+prd+++=will
be ^vb+be+aux++=be
developed ^vpsv++agls+xvbnx+=developed
to ^to++++=to
collect ^vbi++++=collect
information ^nn++++=information
from ^in++++=from
the ^ati++++=the
included ^jj+atrb++xvbn+=included
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
including ^in+strn+++=including:
: ^zz++++=EXTRAWORD
( ^zz++++=(I)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
demographic ^jj+atrb+++=demographic
and ^cc+phrs+++=and
clinical ^jj+atrb+++=clinical
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients;
; ^zz++++=EXTRAWORD
( ^zz++++=(II)
ii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
time ^nn++++=time
points ^vbz++++=points
used ^vbd+++xvbn+=used
for ^in++++=for
assessments ^nns++++=assessments;
; ^zz++++=EXTRAWORD
( ^zz++++=(III)
iii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
epidemiological ^nn+++??+=epidemiological
characteristics ^nns++++=characteristics;
; ^zz++++=EXTRAWORD
( ^zz++++=(IV)
iv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
outcome ^nn++++=outcome
measures ^nns++++=measures;
; ^zz++++=EXTRAWORD
( ^zz++++=(V)
v ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
sources ^nns++++=sources
of ^in++++=of
funding ^nn+++??+=funding;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(VI)
vi ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
potential ^jj+atrb+++=potential
conflicts ^nns++++=conflicts
of ^in++++=of
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
