Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
formal ^jj+atrb+++=formal
evidence ^nn++++=evidence-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
recommendations ^nns++++=recommendations
from ^in++++=from
clinical ^jj+atrb+++=clinical
societies ^nns++++=societies
or ^cc++++=or
governmental ^jj+atrb+++=governmental
bodies ^nns++++=bodies
specifically ^rb++++=specifically
addressing ^vbg+++xvbg+=addressing
immunosuppressed ^nn+++??+=immunosuppressed
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
with ^in++++=with
inflammatory ^jj+atrb+++=inflammatory
bowel ^nn++++=bowel
disease ^nn++++=disease
( ^zz++++=(IBD).
ibd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
3 ^zz++++=3
presents ^nns++++=presents
therapy ^nn++++=therapy-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
considerations ^nns++++=considerations
for ^in++++=for
Ibd ^np+++??+=IBD
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
primarily ^rb+down+splt++=primarily
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
expert ^nn++++=expert
opinion ^nn++++=opinion
and ^cc++++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
within ^in++++=within
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
individual ^jj+atrb+++=individual
patient ^nn++++=patient
circumstances ^nns++++=circumstances.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
recommendations ^nns++++=recommendations
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
modification ^nn++++=modification
and ^cc++++=and
revision ^nn++++=revision
as ^ql++++=as
new ^np++++=new
evidence ^nn++++=evidence
becomes ^vbz++++=becomes
available ^jj++++=available
( ^zz++++=(14,20).
14,20 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
