Demographic ^np+++??+=Demographic
data ^nns++++=data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected,
, ^zz++++=EXTRAWORD
including ^in++++=including
sex ^nn++++=sex
( ^zz++++=(male
male ^jj++++=EXTRAWORD
or ^cc+phrs+++=or
female ^jj++++=female),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
age ^nn++++=age
( ^zz++++=(categorized
categorized ^nn+++??+=EXTRAWORD
in ^in++++=in
10 ^cd++++=10-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
intervals ^nns++++=intervals),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ethnicity ^nn+++??+=ethnicity
( ^zz++++=(Asian,
asian ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Black ^jj++++=Black,
, ^zz++++=EXTRAWORD
Caucasian ^np+++??+=Caucasian,
, ^zz++++=EXTRAWORD
Mixed ^j+++xvbn+=Mixed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Other ^ap++++=Other),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
marital ^jj+atrb+++=marital
status ^nn++++=status
( ^zz++++=(single,
single ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
separated ^j+++xvbn+=separated/divorced,
widowed ^jj+++xvbn+=widowed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
married ^vbd+++xvbn+=married/in
a ^at++++=a
domestic ^jj+atrb+++=domestic
partnership ^nn++++=partnership),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
employment ^nn++++=employment
status ^nn++++=status
( ^zz++++=(unemployed,
unemployed ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
student ^nn++++=student,
, ^zz++++=EXTRAWORD
military ^jj++++=military,
, ^zz++++=EXTRAWORD
self ^nn++++=self-employed,
- ^zz++++=EXTRAWORD
employed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
retired ^jj+++xvbn+=retired),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
household ^nn++++=household
income ^nn++++=income
( ^zz++++=(<R$1254,
< ^zz++++=EXTRAWORD
r$1254 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
R$1255 ^np+++??+=R$1255
R$2004 ^np+++??+=R$2004,
, ^zz++++=EXTRAWORD
R$2005 ^np+++??+=R$2005
R$8640 ^np+++??+=R$8640,
, ^zz++++=EXTRAWORD
R$8641 ^np+++??+=R$8641
R$11261 ^np+++??+=R$11261,
, ^zz++++=EXTRAWORD
> ^zz++++=>R$11262),
r$11262 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Brazilian ^jj+atrb+++=Brazilian
state ^nn++++=state
of ^in++++=of
residence ^nn++++=residence.
. ^zz++++=EXTRAWORD
Participants ^nns++++=Participants
were ^vbd+bed+aux++=were
asked ^vpsv++agls+xvbnx+=asked
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
in ^in++++=in
self ^nn++++=self-isolation
- ^zz++++=EXTRAWORD
isolation ^nn++++=EXTRAWORD
and ^cc++++=and
to ^in++++=to
report ^nn++++=report
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
days ^nns++++=days
spent ^vbd+++xvbn+=spent
in ^in++++=in
self ^nn++++=self-isolation.
- ^zz++++=EXTRAWORD
isolation ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Substance ^nn++++=Substance
use ^nn++++=use
was ^vbd+bedz+aux++=was
assessed ^vpsv++by+xvbnx+=assessed
by ^in++++=by
current ^nn++++=current
smoking ^vwbg+++xvbg+=smoking
status ^nn++++=status
( ^zz++++=(yes
yes ^uh++++=EXTRAWORD
or ^cc++++=or
no ^at++++=no)
) ^zz++++=EXTRAWORD
and ^cc++++=and
current ^jj+atrb+++=current
alcohol ^nn++++=alcohol
consumption ^nn++++=consumption
( ^zz++++=(yes
yes ^uh++++=EXTRAWORD
or ^cc++++=or
no ^at++++=no).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Self ^nn++++=Self-reported
- ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=EXTRAWORD
previous ^jj++++=previous
diagnoses ^vbz++++=diagnoses
of ^in++++=of
chronic ^jj+atrb+++=chronic
physical ^jj+atrb+++=physical
conditions ^nns++++=conditions
( ^zz++++=(including,
including ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
limited ^vwbn+++xvbn+=limited
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
obesity ^nn++++=obesity,
, ^zz++++=EXTRAWORD
hypertension ^nn+++??+=hypertension,
, ^zz++++=EXTRAWORD
myocardial ^nn+++??+=myocardial
infarction ^nn++++=infarction,
, ^zz++++=EXTRAWORD
angina ^nn++++=angina
pectoris ^nn"++++=pectoris
and ^cc++++=and
other ^ap++++=other
coronary ^jj+atrb+++=coronary
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
other ^ap++++=other
cardiac ^jj+atrb+++=cardiac
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
varicose ^jj+atrb+++=varicose
veins ^nns++++=veins
of ^in++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
extremities ^nns++++=extremities,
, ^zz++++=EXTRAWORD
osteoarthritis ^nns+++??+=osteoarthritis,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
neck ^nn++++=neck
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
low ^jj+atrb+++=low
back ^jjb+atrb+++=back
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
allergy ^nn+++??+=allergy
[ ^zz++++=[excluding
excluding ^vbg+++xvbg+=EXTRAWORD
allergic ^jj+atrb+++=allergic
asthma ^nn++++=asthma],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
asthma ^nn++++=asthma
[ ^zz++++=[including
including ^in++++=EXTRAWORD
allergic ^jj+atrb+++=allergic
asthma ^nn++++=asthma],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
bronchitis ^nn++++=bronchitis,
, ^zz++++=EXTRAWORD
emphysema ^nn+++??+=emphysema
or ^cc++++=or
chronic ^jj+atrb+++=chronic
obstructive ^nn+++??+=obstructive
pulmonary ^nn+++??+=pulmonary
disease ^nn++++=disease
[ ^zz++++=[COPD],
copd ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
type ^nn++++=type
1 ^zz++++=1
diabetes ^nn++++=diabetes,
, ^zz++++=EXTRAWORD
type ^nn++++=type
2 ^zz++++=2
diabetes ^nn++++=diabetes,
, ^zz++++=EXTRAWORD
diabetic ^nn++++=diabetic
retinopathy ^nn+++??+=retinopathy,
, ^zz++++=EXTRAWORD
cataract ^nn++++=cataract,
, ^zz++++=EXTRAWORD
peptic ^nn+++??+=peptic
ulcer ^nn++++=ulcer
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
urinary ^nn+++??+=urinary
incontinence ^nn+++??+=incontinence
or ^cc++++=or
urine ^nn++++=urine
control ^nn++++=control
problems ^nns++++=problems,
, ^zz++++=EXTRAWORD
hypercholesterolaemia ^nn+++??+=hypercholesterolaemia,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
skin ^nn++++=skin
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
constipation ^nn++++=constipation,
, ^zz++++=EXTRAWORD
liver ^nn++++=liver
cirrhosis ^nns+++??+=cirrhosis
and ^cc++++=and
other ^ap++++=other
hepatic ^nn+++??+=hepatic
disorders ^nns++++=disorders,
, ^zz++++=EXTRAWORD
stroke ^nn++++=stroke,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
migraine ^nn+++??+=migraine
and ^cc++++=and
other ^ap++++=other
frequent ^jj+atrb+++=frequent
chronic ^jj+atrb+++=chronic
headaches ^nns++++=headaches,
, ^zz++++=EXTRAWORD
haemorrhoids ^nns+++??+=haemorrhoids,
, ^zz++++=EXTRAWORD
cancer ^nn++++=cancer,
, ^zz++++=EXTRAWORD
osteoporosis ^nns+++??+=osteoporosis,
, ^zz++++=EXTRAWORD
thyroid ^jj+atrb+++=thyroid
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
renal ^jj+atrb+++=renal
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
injuries ^nns++++=injuries)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=EXTRAWORD
previous ^jj++++=previous
diagnoses ^vbz++++=diagnoses
of ^in++++=of
psychiatric ^jj+atrb+++=psychiatric
conditions ^nns++++=conditions
( ^zz++++=(including
including ^in++++=EXTRAWORD
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
bipolar ^nn+++??+=bipolar
disorder ^nn++++=disorder,
, ^zz++++=EXTRAWORD
schizophrenia ^nn++++=schizophrenia,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
other ^ap++++=other
psychiatric ^jj+atrb+++=psychiatric
disorders ^nns++++=disorders)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
assessed ^vpsv++agls+xvbnx+=assessed.
. ^zz++++=EXTRAWORD
For ^in++++=For
these ^dt+dem+++=these
questions ^nns++++=questions,
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
were ^vbd+bed+aux++=were
provided ^vpsv++agls+xvbnx+=provided
with ^in++++=with
a ^at++++=a
list ^nn++++=list
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
aforementioned ^nn++++=aforementioned
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
