A ^at++++=A
total ^nn++++=total
of ^in++++=of
155 ^cd++++=155
individuals ^nns++++=individuals
representing ^vwbg+++xvbg+=representing
42 ^cd++++=42
species ^nns++++=species
sampled ^nn+++??+=sampled
in ^in++++=in
the ^ati++++=the
shrub ^nn++++=shrub-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
synusia ^nn+++??+=synusia
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
belonging ^jj+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
early ^jj++++=early-successional
- ^zz++++=EXTRAWORD
successional ^nn+++??+=EXTRAWORD
group ^nn++++=group,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
550 ^cd++++=550
individuals ^nns++++=individuals
representing ^vwbg+++xvbg+=representing
83 ^cd++++=83
species ^nn++++=species
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
belonging ^jj+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
late ^jj++++=late-successional
- ^zz++++=EXTRAWORD
successional ^nn+++??+=EXTRAWORD
group ^nn++++=group
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
fern ^nn+++??+=fern
specimens ^nns++++=specimens
and ^cc++++=and
one ^cd1++++=one
Myrtaceae ^np+++??+=Myrtaceae
specimen ^nn++++=specimen
with ^in++++=with
a ^at++++=a
diameter ^nn++++=diameter
at ^in++++=at
breast ^nn++++=breast
height ^nn++++=height
( ^zz++++=(dbh)
dbh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
greater ^jjr++++=greater
than ^in++++=than
2.5 ^cd++++=2.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead
and ^cc+phrs+++=and
lacked ^jj+atrb++xvbn+=lacked
sufficient ^jj+atrb+++=sufficient
material ^nn++++=material
for ^in++++=for
species ^nn++++=species-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
identification ^nn++++=identification,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
classified ^jj++++=classified
or ^cc++++=or
included ^vbd+++xvbn+=included
in ^in++++=in
this ^dt+dem+++=this
count ^nn++++=count.
. ^zz++++=EXTRAWORD
