During ^in++++=During
the ^ati++++=the
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
Gene ^np++++=Gene
S ^zz++++=S,
, ^zz++++=EXTRAWORD
Gene ^np++++=Gene
N ^zz++++=N,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Orf10 ^np+++??+=ORF10
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
The ^ati++++=The
regions ^nns++++=regions
around ^in++++=around
positions ^nns++++=positions
3,500 ^cd++++=3,500
and ^cc++++=and
11,000 ^cd++++=11,000,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
exhibited ^j+++xvbn+=exhibited
high ^np++++=high
levels ^nns++++=levels
of ^in++++=of
regularity ^nn++++=regularity;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
regions ^nns++++=regions
do ^vb+do+aux++=do
not ^xnot++not++=not
correspond ^vb++++=correspond
to ^in++++=to
any ^dti++++=any
previously ^rb+tm+++=previously
documented ^vbd+++xvbn+=documented
elements ^nns++++=elements
within ^in++++=within
the ^ati++++=the
Orf1ab ^np+++??+=Orf1ab
gene ^np++++=gene.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
investigation ^nn++++=investigation
of ^in++++=of
these ^dt+dem+++=these
regions ^nns++++=regions
may ^md+pos+++=may
be ^vb+be+aux++=be
warranted ^vbd+++xvbn+=warranted
to ^to++++=to
determine ^vb++++=determine
their ^pp$+pp3+++=their
potential ^jj+atrb+++=potential
significance ^nn++++=significance.
. ^zz++++=EXTRAWORD
