When ^wrb+who+++=When
comparing ^jj+atrb++xvbg+=comparing
group ^nn++++=group
1 ^zz++++=1
with ^in++++=with
group ^nn++++=group
2a ^cd++++=2a
and ^cc++++=and
group ^nn++++=group
1 ^zz++++=1
with ^in++++=with
group ^nn++++=group
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
the ^ati++++=the
incidence ^nn++++=incidence
ratio ^nn++++=ratio
was ^vbd+bedz+vrb++=was
approximately ^rb+down+++=approximately
8 ^zz++++=8
in ^in++++=in
both ^abx++++=both
comparisons ^nns++++=comparisons,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
mortality ^nn++++=mortality
ratio ^nn++++=ratio
was ^vbd+bedz+vrb++=was
23.24 ^cd++++=23.24
and ^cc++++=and
31.18 ^cd++++=31.18
times ^nns++++=times
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
