Regarding ^in++++=Regarding
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
groups ^nns++++=groups
1 ^zz++++=1
and ^cc++++=and
5.1 ^cd++++=5.1
exhibit ^vb++++=exhibit
the ^ati++++=the
highest ^jjt+atrb+++=highest
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
with ^in++++=with
11.586 ^cd++++=11.586
and ^cc++++=and
9.925 ^cd++++=9.925
deaths ^nns++++=deaths
per ^in++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
group ^nn++++=group
4 ^zz++++=4
demonstrates ^vbz+vpub+++=demonstrates
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
mortality ^nn++++=mortality
rate ^nn++++=rate
at ^rb++++=at
0.209 ^nn+++??+=0.209
deaths ^nns++++=deaths
per ^in++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
result ^nn++++=result
may ^md+pos+++=may
be ^vb+be+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
China ^np++++=China,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
its ^pp$+it+++=its
large ^jj+atrb+++=large
population ^nn++++=population
size ^nn++++=size.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
group ^nn++++=group
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
comprises ^vbz++++=comprises
countries ^nns++++=countries
with ^in++++=with
an ^at++++=an
expanded ^jj+atrb++xvbn+=expanded
vaccine ^nn++++=vaccine
scheme ^nn++++=scheme,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
case ^nn++++=case
fatality ^nn++++=fatality
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
with ^in++++=with
1.87 ^cd++++=1.87
deaths ^nns++++=deaths
per ^in++++=per
100 ^cd++++=100
cases ^nns++++=cases
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.001 ^nn++++=0.001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
