Several ^ap++++=Several
antimicrobial ^nn+++??+=antimicrobial
agents ^nns++++=agents
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
evaluated ^vpsv++agls+xvbnx+=evaluated
in ^in++++=in
hospital ^nn++++=hospital
settings ^nns++++=settings
for ^in++++=for
their ^pp$+pp3+++=their
efficacy ^nn++++=efficacy
against ^in++++=against
various ^jj+atrb+++=various
coronaviruses ^nns+++??+=coronaviruses,
, ^zz++++=EXTRAWORD
including ^in++++=including
isopropanol ^nn+++??+=isopropanol,
, ^zz++++=EXTRAWORD
povidone ^nn+++??+=povidone-iodine,
- ^zz++++=EXTRAWORD
iodine ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
ethanol ^nn+++??+=ethanol,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
these ^dt+dem+++=these
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
and ^cc++++=and
ethanol ^nn+++??+=ethanol,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
also ^rb++++=also
widely ^rb++++=widely
available ^jj++++=available
outside ^jjb++++=outside
medical ^jj++++=medical
and ^cc++++=and
laboratory ^nn++++=laboratory
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
increases ^vbz++++=increases
their ^pp$+pp3+++=their
accessibility ^nn++++=accessibility
to ^in++++=to
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn++++=population.
. ^zz++++=EXTRAWORD
Evidence ^nn++++=Evidence
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
surfaces ^nns++++=surfaces
treated ^vwbn+++xvbn+=treated
with ^in++++=with
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
ethanol ^vb+++??+=ethanol
demonstrated ^vbd+vprv++xvbn+=demonstrated
effective ^jj+atrb+++=effective
disinfection ^nn+++??+=disinfection
against ^in++++=against
two ^cd++++=two
types ^nns++++=types
of ^in++++=of
coronaviruses ^nns+++??+=coronaviruses
mouse ^nn++++=mouse
hepatitis ^nns+++??+=hepatitis
virus ^nn++++=virus
and ^cc++++=and
transmissible ^nn+++??+=transmissible
gastroenteritis ^nns+++??+=gastroenteritis
virus ^nn++++=virus
after ^in++++=after
one ^cd1++++=one
minute ^nn++++=minute
of ^in++++=of
contact ^nn++++=contact,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
0.06 ^nn+++??+=0.06%
% ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
was ^vbd+bedz+vrb++=was
less ^rbr++++=less
effective ^jj+pred+++=effective
under ^in++++=under
the ^ati++++=the
same ^ap++++=same
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
involving ^vwbg+++xvbg+=involving
Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
is ^vbz+bez+vrb++=is
effective ^jj+pred+++=effective
at ^in++++=at
concentrations ^nns++++=concentrations
between ^in++++=between
0.05 ^nn+++??+=0.05%
% ^zz++++=EXTRAWORD
and ^cc++++=and
0.1 ^nn+++??+=0.1%
% ^zz++++=EXTRAWORD
after ^in++++=after
five ^cd++++=five
minutes ^nns++++=minutes
of ^in++++=of
exposure ^nn++++=exposure.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
study ^nn++++=study
comparing ^vwbg+++xvbg+=comparing
the ^ati++++=the
surface ^nn++++=surface
stability ^nn++++=stability
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
and ^cc++++=and
Sars ^np+++??+=SARS-CoV-1,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
closely ^rb++++=closely
related ^jj+atrb++xvbn+=related
human ^jj+atrb+++=human
coronavirus ^nns+++??+=coronavirus,
, ^zz++++=EXTRAWORD
provided ^jj+atrb++xvbn+=provided
further ^jjb+atrb+++=further
insights ^nns++++=insights,
, ^zz++++=EXTRAWORD
as ^in++++=as
summarized ^nn++++=summarized
in ^in++++=in
chart ^nn++++=Chart
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
