Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^od++++=first
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
data ^nns++++=data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
official ^jj+atrb+++=official
sources ^nns++++=sources
regarding ^in++++=regarding
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
and ^cc++++=and
deaths ^nns++++=deaths
reported ^vbd+vpub++xvbn+=reported
between ^in++++=between
December ^nr++++=December
31 ^cd++++=31,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
April ^nr++++=April
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
Incidence ^nn++++=Incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lethality ^jj+atrb++??+=lethality
acceleration ^nn++++=acceleration
rates ^nns++++=rates
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
and ^cc+phrs+++=and
compared ^vpsv++agls+xvbn+=compared
among ^in++++=among
predefined ^nn+++??+=predefined
groups ^nns++++=groups
based ^vwbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
Bacillus ^np+++??+=Bacillus
Calmette ^np+++??+=Calmette-Gu
 ^zz++++=EXTRAWORD
Gu ^nn++++=EXTRAWORD
Rin ^nn++++=rin
 ^zz++++=(BCG)
Bcg ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Vaccination ^nn++++=vaccination
Programs ^nns++++=programs.
 ^zz++++=EXTRAWORD
