Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
described ^vprf+++xvbnx+=described
the ^ati++++=the
imaging ^nn+++??+=imaging
characteristics ^nns++++=characteristics
of ^in++++=of
this ^dt+dem+++=this
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
focus ^nn++++=focus
on ^in++++=on
high ^jj++++=high-resolution
- ^zz++++=EXTRAWORD
resolution ^nn++++=EXTRAWORD
computed ^vwbn+++xvbn+=computed
tomography ^nn+++??+=tomography
( ^zz++++=(CT)
ct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
chest ^nn++++=chest
( ^zz++++=(3
3 ^zz++++=EXTRAWORD
18 ^cd++++=18).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
chest ^nn++++=chest
Ct ^np+++??+=CT
is ^vbz+bez+aux++=is
not ^xnot++not++=not
currently ^rb++++=currently
recommended ^vbd+vsua++xvbn+=recommended
as ^ql++++=as
a ^at++++=a
routine ^nn++++=routine
tool ^nn++++=tool
for ^in++++=for
screening ^xvbg+++xvbg+=screening
or ^cc++++=or
initial ^jj+atrb+++=initial
diagnosis ^nn++++=diagnosis
of ^in++++=of
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
provide ^vb+vsua+++=provide
valuable ^jj+atrb+++=valuable
information ^nn++++=information
regarding ^in++++=regarding
disease ^nn++++=disease
severity ^nn++++=severity,
, ^zz++++=EXTRAWORD
treatment ^nn++++=treatment
response ^nn++++=response,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
complications ^nns++++=complications,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
differential ^nn++++=differential
diagnoses ^vbz++++=diagnoses
( ^zz++++=(19).
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
studies ^nns++++=studies
have ^vb+hv+aux++=have
assessed ^vprf+++xvbnx+=assessed
the ^ati++++=the
diagnostic ^nn+++??+=diagnostic
accuracy ^nn++++=accuracy
of ^in++++=of
chest ^nn++++=chest
Ct ^np+++??+=CT
for ^in++++=for
screening ^xvbg+++xvbg+=screening
patients ^nns++++=patients
with ^in++++=with
suspected ^vbd+vprv++xvbn+=suspected
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
( ^zz++++=(11,17,18).
11,17,18 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
analyses ^nns++++=analyses
are ^vb+ber+vrb++=are
important ^jj+pred+++=important,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
contexts ^nns++++=contexts
where ^wrb+who+++=where
other ^ap++++=other
endemic ^jj+atrb+++=endemic
and ^cc+phrs+++=and
seasonal ^jj+atrb+++=seasonal
viruses ^nns++++=viruses
are ^vb+ber+aux++=are
present ^vb++++=present
and ^cc+cls+++=and
where ^wrb+who+++=where
access ^nn++++=access
to ^in++++=to
serological ^jj++++=serological
testing ^jj+++xvbg+=testing
( ^zz++++=(PCR)
pcr ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
limited ^jj+pred+++=limited
or ^cc++++=or
results ^nns++++=results
are ^vb+ber+aux++=are
delayed ^vpsv++agls+xvbn+=delayed.
. ^zz++++=EXTRAWORD
