Despite ^in++++=Despite
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
seroprevalence ^nn+++??+=seroprevalence
in ^in++++=in
asymptomatic ^nn+++??+=asymptomatic
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+aux++=are
limited ^vpsv++agls+xvbnx+=limited
studies ^nns++++=studies
addressing ^vwbg+++xvbg+=addressing
this ^dt+dem+++=this
issue ^nn++++=issue.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
notable ^jj+atrb+++=notable
investigation ^nn++++=investigation
is ^vbz+bez+vrb++=is
the ^ati++++=the
report ^nn++++=report
from ^in++++=from
the ^ati++++=the
Diamond ^nn++++=Diamond
Princess ^npt++++=Princess
cruise ^vb++++=cruise
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Japanese ^jj+atrb+++=Japanese
health ^nn++++=health
authorities ^nns++++=authorities
conducted ^vbd+++xvbn+=conducted
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
testing ^vwbg+++xvbg+=testing
on ^in++++=on
3,063 ^cd++++=3,063
passengers ^nns++++=passengers
following ^vwbg+++xvbg+=following
an ^at++++=an
outbreak ^nn++++=outbreak
and ^cc++++=and
estimated ^vbn+vprv++xvbn+=estimated
that ^tht+vcmp+++=that
17.9 ^cd+date+++=17.9%
% ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
infected ^jj+atrb++xvbn+=infected
cases ^nns++++=cases
were ^vbd+bed+vrb++=were
asymptomatic ^nn+++??+=asymptomatic
[ ^zz++++=[13].
13 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
study ^nn++++=study
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
Santa ^&fw++++=Santa
Clara ^np++++=Clara
County ^nn++++=County,
, ^zz++++=EXTRAWORD
California ^np++++=California,
, ^zz++++=EXTRAWORD
Usa ^np++++=USA,
, ^zz++++=EXTRAWORD
reported ^j+++xvbn+=reported
a ^at++++=a
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
seroprevalence ^nn+++??+=seroprevalence
of ^in++++=of
2.8 ^cd++++=2.8%
% ^zz++++=EXTRAWORD
after ^in++++=after
adjusting ^nn++++=adjusting
for ^in++++=for
test ^nn++++=test
sensitivity ^nn++++=sensitivity,
, ^zz++++=EXTRAWORD
specificity ^nn++++=specificity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
population ^nn++++=population
demographics ^nns++++=demographics
[ ^zz++++=[14].
14 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
