Urban ^jj+atrb+++=Urban
reservoirs ^nns++++=reservoirs
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
susceptible ^jj+pred+++=susceptible
to ^in++++=to
anthropogenic ^nn+++??+=anthropogenic
impacts ^nns+++??+=impacts
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
collect ^vb++++=collect
and ^cc+phrs+++=and
retain ^vb++++=retain
materials ^nns++++=materials
and ^cc++++=and
pollutants ^nns+++??+=pollutants
from ^in++++=from
their ^pp$+pp3+++=their
drainage ^nn++++=drainage
basins ^nns++++=basins,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
receive ^vb++++=receive
nutrient ^jj+atrb+++=nutrient
inputs ^nns+++??+=inputs
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
deterioration ^nn++++=deterioration
of ^in++++=of
water ^nn++++=water
quality ^nn++++=quality
( ^zz++++=(Branco
branco ^nn+++??+=EXTRAWORD
& ^zz++++=&
Senna ^np+++??+=Senna
1996 ^cd+date+++=1996;
; ^zz++++=EXTRAWORD
Figueredo ^np+++??+=Figueredo
& ^zz++++=&
Giani ^np+++??+=Giani
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Dong ^np+++??+=Dong
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
Fontana ^np+++??+=Fontana
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Zorzal ^np+++??+=Zorzal-Almeida
- ^zz++++=EXTRAWORD
almeida ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
shallow ^jj+atrb+++=shallow
systems ^nns++++=systems
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
more ^rbr++++=more
prone ^jj++++=prone
to ^in+jcmp+++=to
eutrophication ^jj+++??+=eutrophication
due ^jj++++=due
to ^to+jcmp+++=to
enhanced ^vbi++++=enhanced
water ^nn++++=water-sediment
- ^zz++++=EXTRAWORD
sediment ^nn+++??+=EXTRAWORD
interactions ^nns++++=interactions
and ^cc++++=and
feedback ^nn+++??+=feedback
mechanisms ^nns++++=mechanisms,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
increase ^vb++++=increase
the ^ati++++=the
system ^nn++++=system's
's ^$++++=EXTRAWORD
resistance ^nn++++=resistance
to ^in++++=to
restoration ^nn++++=restoration
efforts ^nns++++=efforts
( ^zz++++=(S
s ^zz++++=EXTRAWORD
ndegaard ^nn+++??+=ndegaard
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
bicudo ^np++++=Bicudo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
