Foreign ^jj+atrb+++=Foreign
direct ^jj+atrb+++=direct
investment ^nn++++=investment
( ^zz++++=(FDI)
fdi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
a ^at++++=a
mechanism ^nn++++=mechanism
that ^tht+rel+subj++=that
can ^md+pos+++=can
support ^vb++++=support
economic ^jj+atrb+++=economic
development ^nn++++=development.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
countries ^nns++++=countries
implement ^vb++++=implement
policies ^nns++++=policies
to ^to++++=to
foster ^vbi++++=foster
an ^at++++=an
environment ^nn++++=environment
conducive ^jj++++=conducive
to ^in++++=to
investment ^nn++++=investment
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
enhance ^vbi++++=enhance
Fdi ^np+++??+=FDI
inflows ^nns++++=inflows.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
Turkey ^np++++=Turkey,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
developing ^jj+atrb++xvbg+=developing
country ^nn++++=country,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
introduced ^vprf+++xvbnx+=introduced
measures ^nns++++=measures
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
attracting ^j++++=attracting
high ^jj++++=high-quality
- ^zz++++=EXTRAWORD
quality ^nn++++=EXTRAWORD
investment ^nn++++=investment
to ^to++++=to
improve ^vbi++++=improve
economic ^jj+atrb+++=economic
efficiency ^nn++++=efficiency.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
well ^rb++splt++=well
established ^vpsv++agls+xvbnx+=established
that ^dt+dem+++=that
developing ^vbg+++xvbg+=developing
countries ^nns++++=countries
frequently ^rb++++=frequently
experience ^nn++++=experience
constraints ^vbz++++=constraints
related ^vpsv++agls+xvbn+=related
to ^in++++=to
insufficient ^jj+atrb+++=insufficient
capital ^nn++++=capital
inflows ^nns++++=inflows.
. ^zz++++=EXTRAWORD
