Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
a ^at++++=a
correlation ^nn++++=correlation
between ^in++++=between
the ^ati++++=the
coverage ^nn++++=coverage
of ^in++++=of
Bcg ^np+++??+=BCG
vaccination ^nn++++=vaccination
programs ^nns+++??+=programs
and ^cc++++=and
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
increase ^nn++++=increase
in ^in++++=in
new ^jj+atrb+++=new
cases ^nns++++=cases
and ^cc++++=and
deaths ^nns++++=deaths
across ^in+pl+++=across
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
existing ^vbg+++xvbg+=existing
Bcg ^np+++??+=BCG
vaccination ^nn++++=vaccination
programs ^nns+++??+=programs
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
a ^at++++=a
potential ^jj+atrb+++=potential
protective ^jj+atrb+++=protective
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
