Numerous ^jj+atrb+++=Numerous
hypotheses ^nns++++=hypotheses
are ^vb+ber+aux++=are
proposed ^vpsv++agls+xvbnx+=proposed
on ^in++++=on
a ^at++++=a
daily ^jj+atrb+++=daily
basis ^nn++++=basis,
, ^zz++++=EXTRAWORD
encompassing ^nn+++??+=encompassing
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
geographical ^jj+atrb+++=geographical
location ^nn++++=location,
, ^zz++++=EXTRAWORD
climate ^nn++++=climate,
, ^zz++++=EXTRAWORD
altitude ^nn++++=altitude,
, ^zz++++=EXTRAWORD
demographic ^jj+atrb+++=demographic
age ^nn++++=age
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
population ^nn++++=population's
's ^$++++=EXTRAWORD
ability ^nn++++=ability
to ^to+ncmp+++=to
comply ^vbi++++=comply
with ^in++++=with
public ^jj+atrb+++=public
policy ^nn++++=policy
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
including ^in++++=including
social ^jj+atrb+++=social
distancing ^nn++++=distancing
and ^cc++++=and
quarantine ^nn++++=quarantine.
. ^zz++++=EXTRAWORD
